Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Monique Billings,ATL,F,39,653,39,653,10.8,0.482,0.407,0.024,0.365,9.1,16.7,7.3,1.2,1.6,16,15.5,97,102,,0.1,1,1.1,0.07
Kierstan Bell,LVA,G,36,424,36,424,6.8,0.419,0.412,0.536,0.065,4.1,7.6,5.9,1.7,1,8.2,18.2,86,102,,-0.5,0.7,0.1,0.013
Laeticia Amihere,ATL,F,20,147,20,147,8.8,0.466,0.405,0.024,0.976,3.8,7.6,4.4,1.7,5.2,15.5,21.2,86,102,,-0.2,0.2,0,0.006
Elizabeth Williams,CHI,C-F,40,1188,40,1188,16.8,0.536,0.514,0,0.283,8.7,11.5,13.2,2.1,4.1,12.9,15.8,110,103,,2.1,1.6,3.7,0.125
Satou Sabally,DAL,F,38,1258,38,1258,21.9,0.562,0.495,0.336,0.35,7.6,13.9,21.5,2.7,1.1,14.9,24.8,114,103,,4.2,1.7,5.9,0.187
Rhyne Howard,ATL,G,39,1283,39,1283,16.7,0.516,0.469,0.479,0.281,2.3,8.4,19.4,2,1.7,10.2,25.1,103,103,,1.6,1.9,3.5,0.108
Jordan Horston,SEA,G-F,36,806,36,806,9.1,0.418,0.385,0.149,0.189,6.5,12.8,12.7,2.7,2.2,19.2,20.3,81,103,,-1.9,1.2,-0.7,-0.034
Emily Engstler,MIN,F,12,93,12,93,9.5,0.428,0.429,0.333,0.381,13.8,18.1,11.7,2.7,0.9,29,16.8,82,103,,-0.2,0.1,-0.1,-0.023
Ariel Atkins,WAS,G,27,679,27,679,16,0.554,0.498,0.494,0.271,3,7.2,15.8,2.4,1.2,11.1,21.3,106,103,,1.1,1,2.1,0.125
Amanda Zahui B.,TOT,C,34,253,34,253,3.2,0.362,0.3,0.529,0.286,3.3,9,5.9,1.2,6.6,16,16.7,73,104,,-0.7,0.3,-0.4,-0.059
