Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
178,Sylvia Crawley,0.48,34,88,31,2000,27,POR,31,30,0,930,143,298,143,296,0,2,71,102,64,121,185,34,29,24,88,96,357,0.48,0.483,0,0.696,0.521,0.48,F,crawlsy01
179,Naz Hillmon,0.48,41,40,34,2022,22,ATL,34,12,0,674,59,123,59,121,0,2,32,39,52,120,172,41,22,10,40,51,150,0.48,0.488,0,0.821,0.535,0.48,F,hillmna01
180,Stephanie Talbot,0.48,55,30,34,2017,23,PHO,34,24,0,609,51,123,35,81,16,42,30,46,29,62,91,55,24,9,30,66,148,0.415,0.432,0.381,0.652,0.517,0.48,F,talbost01
181,Murriel Page,0.479,40,57,30,1998,22,WAS,30,30,0,955,104,217,104,215,0,2,41,65,81,127,208,40,19,13,57,97,249,0.479,0.484,0,0.631,0.507,0.479,F,pagemu01
182,Christi Thomas,0.479,23,27,31,2004,21,LAS,31,8,0,547,66,143,61,132,5,11,28,41,43,77,120,23,18,14,27,80,165,0.462,0.462,0.455,0.683,0.512,0.479,F-C,thomach02
183,Maylana Martin,0.479,21,29,30,2000,22,MIN,30,13,0,456,54,118,49,99,5,19,19,32,25,42,67,21,17,13,29,81,132,0.458,0.495,0.263,0.594,0.5,0.479,C-F,martima02
184,Nadine Malcolm,0.479,26,48,31,2001,25,IND,31,23,0,705,90,212,67,156,23,56,54,62,32,60,92,26,13,3,48,75,257,0.425,0.429,0.411,0.871,0.537,0.479,F,malcona01
185,Sue Bird,0.479,191,109,32,2002,21,SEA,32,32,1,1121,151,375,94,233,57,142,102,112,17,66,83,191,55,3,109,48,461,0.403,0.403,0.401,0.911,0.543,0.479,G,birdsu01
186,Rhonda Blades,0.479,30,39,28,1997,24,NYL,28,0,0,290,25,70,8,16,17,54,13,20,6,15,21,30,14,1,39,55,80,0.357,0.5,0.315,0.65,0.508,0.479,G,bladerh01
187,Andrea Stinson,0.479,124,99,28,1997,29,CHA,28,28,0,1011,177,396,152,319,25,77,60,89,48,107,155,124,43,21,99,55,439,0.447,0.476,0.325,0.674,0.504,0.479,G,stinsan01
188,La'Keshia Frett,0.478,64,26,31,1999,24,LAS,31,18,0,658,77,161,77,161,0,0,34,43,48,46,94,64,9,5,26,42,188,0.478,0.478,,0.791,0.522,0.478,F,frettla01
189,Teresa Weatherspoon,0.478,173,94,28,1997,31,NYL,28,28,0,924,64,137,61,102,3,35,65,100,25,91,116,173,85,2,94,72,196,0.467,0.598,0.086,0.65,0.541,0.478,G,weathte01
190,Barbara Turner,0.478,48,47,34,2006,22,SEA,34,9,0,622,71,159,61,119,10,40,64,77,26,60,86,48,13,6,47,56,216,0.447,0.513,0.25,0.831,0.56,0.478,G-F,turneba01
191,Kalani Brown,0.478,17,29,28,2019,22,LAS,28,0,0,377,54,113,54,112,0,1,36,46,34,64,98,17,9,22,29,47,144,0.478,0.482,0,0.783,0.54,0.478,C,brownka01
192,Elena Delle Donne,0.478,53,39,30,2013,23,CHI,30,30,1,941,172,404,130,308,42,96,157,169,42,125,167,53,20,54,39,47,543,0.426,0.422,0.438,0.929,0.568,0.478,F-G,delleel01
193,Diana Taurasi,0.477,132,90,34,2004,22,PHO,34,34,0,1130,209,503,147,315,62,188,98,129,28,121,149,132,43,25,90,117,578,0.416,0.467,0.33,0.76,0.516,0.477,G,tauradi01
194,Tora Suber,0.477,56,51,28,1997,22,CHA,28,8,0,475,40,108,17,50,23,58,28,41,5,37,42,56,13,3,51,32,131,0.37,0.34,0.397,0.683,0.52,0.477,G,suberto01
195,Lisa Harrison,0.477,53,35,32,1999,28,PHO,32,23,0,828,81,171,80,161,1,10,30,44,47,83,130,53,23,5,35,65,193,0.474,0.497,0.1,0.682,0.507,0.477,F,harrili02
196,Jennifer Lacy,0.477,14,45,33,2006,23,PHO,33,3,0,504,61,128,61,124,0,4,40,58,42,60,102,14,12,12,45,102,162,0.477,0.492,0,0.69,0.528,0.477,F,lacyje01
197,Tina Thompson,0.476,32,62,28,1997,22,HOU,28,28,0,885,133,318,96,218,37,100,67,80,67,117,184,32,21,28,62,107,370,0.418,0.44,0.37,0.838,0.524,0.476,F,thompti01
198,Anna DeForge,0.476,47,33,27,2000,24,DET,27,10,0,433,51,126,33,70,18,56,25,32,9,38,47,47,27,4,33,34,145,0.405,0.471,0.321,0.781,0.518,0.476,G,deforan01
199,Bria Holmes,0.476,41,39,33,2016,22,ATL,33,10,0,702,91,209,74,147,17,62,48,62,24,61,85,41,30,5,39,26,247,0.435,0.503,0.274,0.774,0.523,0.476,G,holmebr01
200,Katie Smith,0.476,60,55,30,1999,25,MIN,30,29,0,971,113,292,61,156,52,136,72,94,42,46,88,60,19,10,55,106,350,0.387,0.391,0.382,0.766,0.525,0.476,G,smithka01
201,Erin Phillips,0.476,80,38,34,2006,21,CON,34,13,0,615,57,145,33,75,24,70,44,50,20,53,73,80,29,2,38,38,182,0.393,0.44,0.343,0.88,0.545,0.476,G,philler01
202,Diamond DeShields,0.476,74,70,34,2018,23,CHI,34,33,0,967,166,391,126,269,40,122,117,140,37,130,167,74,37,10,70,74,489,0.425,0.468,0.328,0.836,0.54,0.476,G,deshidi01
203,Toni Young,0.475,14,26,31,2013,22,NYL,31,10,0,344,58,122,58,121,0,1,12,18,24,34,58,14,9,10,26,57,128,0.475,0.479,0,0.667,0.493,0.475,F,youngto03
204,Ruth Riley,0.475,26,63,32,2001,21,MIA,32,20,0,799,77,162,77,162,0,0,64,83,51,79,130,26,25,46,63,107,218,0.475,0.475,,0.771,0.549,0.475,C,rileyru01
205,Clarissa Davis-Wrightsil,0.475,20,22,14,1999,32,PHO,14,9,0,259,52,120,42,87,10,33,16,24,15,23,38,20,12,4,22,39,130,0.433,0.483,0.303,0.667,0.498,0.475,F,daviscl01
206,Kia Nurse,0.475,54,30,34,2018,22,NYL,34,7,0,774,103,256,66,130,37,126,67,77,24,58,82,54,23,5,30,72,310,0.402,0.508,0.294,0.87,0.535,0.475,G,nurseki01
207,Destanni Henderson,0.475,89,60,36,2022,23,IND,36,5,0,589,71,177,45,106,26,71,23,32,27,30,57,89,27,3,60,32,191,0.401,0.425,0.366,0.719,0.5,0.475,G,hendede01
208,Cheryl Ford,0.474,27,79,32,2003,22,DET,32,32,1,956,128,270,128,270,0,0,88,129,99,235,334,27,32,31,79,109,344,0.474,0.474,,0.682,0.526,0.474,F,fordch02
209,Laura Harper,0.474,12,48,34,2008,22,SAC,34,1,0,560,64,135,64,135,0,0,60,103,68,69,137,12,15,20,48,80,188,0.474,0.474,,0.583,0.521,0.474,F-C,harpela01
210,Jordan Hooper,0.474,19,28,34,2014,22,TUL,34,1,0,646,68,192,22,52,46,140,15,21,23,58,81,19,12,7,28,46,197,0.354,0.423,0.329,0.714,0.489,0.474,F,hoopejo01
211,Michelle Snow,0.474,13,22,32,2002,22,HOU,32,2,0,480,45,96,44,94,1,2,34,57,31,88,119,13,12,26,22,59,125,0.469,0.468,0.5,0.596,0.516,0.474,C,snowmi01
212,Kym Hampton,0.474,38,49,28,1997,34,NYL,28,28,0,663,100,211,100,210,0,1,73,114,52,111,163,38,39,19,49,68,273,0.474,0.476,0,0.64,0.523,0.474,C,hamptky01
213,Katrina Colleton,0.472,45,35,28,1997,26,LAS,28,14,0,613,55,126,46,101,9,25,17,30,25,35,60,45,35,9,35,46,136,0.437,0.455,0.36,0.567,0.489,0.472,F,colleka01
214,Felicia Ragland,0.472,23,29,31,2002,22,SEA,31,3,0,432,48,125,26,70,22,55,23,28,27,21,48,23,27,1,29,44,141,0.384,0.371,0.4,0.821,0.513,0.472,G,raglafe01
215,Kedra Holland-Corn,0.472,51,72,32,1999,24,SAC,32,32,0,1034,123,321,66,154,57,167,76,108,24,44,68,51,62,10,72,100,379,0.383,0.429,0.341,0.704,0.514,0.472,G,hollake01
216,Kristi Harrower,0.471,52,31,30,1998,23,PHO,30,0,0,355,19,52,8,20,11,32,21,28,2,19,21,52,15,3,31,25,70,0.365,0.4,0.344,0.75,0.544,0.471,G,harrokr01
217,Epiphanny Prince,0.471,92,60,34,2010,22,CHI,34,2,0,665,117,274,93,203,24,71,76,97,14,54,68,92,55,5,60,67,334,0.427,0.458,0.338,0.784,0.527,0.471,G,princep01
218,Marla Brumfield,0.47,42,40,32,2000,22,MIN,32,17,0,613,47,101,46,92,1,9,29,42,22,38,60,42,22,2,40,70,124,0.465,0.5,0.111,0.69,0.519,0.47,G,brumfma01
219,Toni Foster,0.47,27,52,28,1997,25,PHO,28,28,0,736,94,201,93,195,1,6,57,81,64,106,170,27,53,21,52,77,246,0.468,0.477,0.167,0.704,0.52,0.47,F-C,fosteto01
220,Jackie Stiles,0.47,55,68,32,2001,22,POR,32,32,1,1023,156,385,106,269,50,116,116,149,24,53,77,55,24,3,68,75,478,0.405,0.394,0.431,0.779,0.53,0.47,G,stileja01
221,Dawn Staley,0.47,177,90,32,1999,29,CHA,32,32,0,1065,125,301,92,197,33,104,85,91,12,60,72,177,38,3,90,71,368,0.415,0.467,0.317,0.934,0.54,0.47,G,staleda01
222,Amber Holt,0.47,65,31,34,2008,23,CON,34,34,0,714,81,199,56,123,25,76,35,45,37,68,105,65,15,5,31,67,222,0.407,0.455,0.329,0.778,0.507,0.47,F,holtam01
223,Sophia Witherspoon,0.47,64,77,28,1997,27,NYL,28,28,0,867,140,345,96,219,44,126,83,111,30,54,84,64,49,7,77,62,407,0.406,0.438,0.349,0.748,0.517,0.47,G,witheso01
224,Shoni Schimmel,0.469,124,83,34,2014,22,ATL,34,2,1,725,104,278,51,123,53,155,21,25,18,58,76,124,26,3,83,38,282,0.374,0.415,0.342,0.84,0.488,0.469,G,schimsh01
225,Kathryn Westbeld,0.469,26,15,22,2025,29,PHO,22,22,0,503,55,147,27,58,28,89,15,18,18,52,70,26,25,18,15,44,153,0.374,0.466,0.315,0.833,0.494,0.469,F,westbka01
226,Kaila Charles,0.469,19,19,21,2020,22,CON,21,7,0,376,40,97,29,67,11,30,22,31,23,31,54,19,16,7,19,45,113,0.412,0.433,0.367,0.71,0.511,0.469,G-F,charlka01
227,Katy Steding,0.468,14,17,29,2000,32,SAC,29,0,0,309,36,95,19,42,17,53,2,7,11,28,39,14,11,10,17,22,91,0.379,0.452,0.321,0.286,0.464,0.468,F,stedika01
228,Shekinna Stricklen,0.468,40,35,34,2012,21,SEA,34,3,0,784,100,253,63,136,37,117,36,52,28,119,147,40,24,8,35,70,273,0.395,0.463,0.316,0.692,0.495,0.468,F,stricsh01
229,Megan Frazee,0.468,15,21,29,2009,22,SAS,29,0,0,326,52,126,38,89,14,37,27,39,27,57,84,15,8,5,21,43,145,0.413,0.427,0.378,0.692,0.506,0.468,F,frazeme01
230,Aneika Henry-Morello,0.468,15,28,34,2012,26,ATL,34,14,0,613,65,139,65,139,0,0,32,42,53,87,140,15,16,30,28,70,162,0.468,0.468,,0.762,0.514,0.468,F-C,henryan01
231,Tynesha Lewis,0.467,15,26,29,2001,22,HOU,29,4,0,419,39,92,31,72,8,20,11,17,20,41,61,15,11,4,26,26,97,0.424,0.431,0.4,0.647,0.488,0.467,G,lewisty01
232,NaLyssa Smith,0.467,45,76,32,2022,21,IND,32,32,0,983,160,382,123,285,37,97,76,123,70,183,253,45,15,8,76,93,433,0.419,0.432,0.381,0.618,0.496,0.467,F,smithna01
233,Wanda Guyton,0.467,12,43,25,1997,28,HOU,25,25,0,668,57,122,57,122,0,0,38,68,76,60,136,12,26,8,43,83,152,0.467,0.467,,0.559,0.5,0.467,C,guytowa01
234,Morgan Tuck,0.466,29,25,26,2016,22,CON,26,3,0,433,67,162,50,106,17,56,32,45,23,51,74,29,10,2,25,25,183,0.414,0.472,0.304,0.711,0.503,0.466,F,tuckmo01
235,La'Tangela Atkinson,0.466,22,34,33,2006,22,IND,33,1,0,419,38,87,33,70,5,17,18,39,25,51,76,22,18,5,34,31,99,0.437,0.471,0.294,0.462,0.475,0.466,G-F,atkinla01
236,Michelle Edwards,0.465,89,77,20,1997,31,CLE,20,14,0,622,76,170,70,145,6,25,45,86,13,57,70,89,35,3,77,40,203,0.447,0.483,0.24,0.523,0.488,0.465,G,edwarmi04
237,Moriah Jefferson,0.464,142,59,34,2016,22,SAS,34,34,0,1034,185,434,152,346,33,88,69,89,15,58,73,142,55,4,59,71,472,0.426,0.439,0.375,0.775,0.499,0.464,G,jeffemo01
238,Julie Vanloo,0.464,173,102,40,2024,31,WAS,40,34,0,926,106,306,34,84,72,222,10,15,5,60,65,173,19,1,102,86,294,0.346,0.405,0.324,0.667,0.47,0.464,G,vanloju01
239,Sharon Manning,0.464,13,29,28,1997,28,CHA,28,5,0,438,58,125,58,125,0,0,21,50,42,56,98,13,25,5,29,31,137,0.464,0.464,,0.42,0.466,0.464,F-C,mannish01
240,Jamie Redd,0.464,16,35,26,2000,22,SEA,26,8,0,387,49,125,31,73,18,52,24,34,18,27,45,16,19,1,35,53,140,0.392,0.425,0.346,0.706,0.5,0.464,F,reddja01
241,Pamela McGee,0.464,20,73,27,1997,34,SAC,27,23,0,691,102,222,100,215,2,7,79,112,54,66,120,20,27,14,73,113,285,0.459,0.465,0.286,0.705,0.525,0.464,F-C,mcgeepa01
242,LaToya Thomas,0.463,37,42,32,2003,21,CLE,32,25,0,852,137,296,137,290,0,6,71,90,63,101,164,37,28,13,42,62,345,0.463,0.472,0,0.789,0.514,0.463,F,thomala02
243,Jessie Hicks,0.463,10,12,26,1997,25,UTA,26,0,0,263,37,80,37,79,0,1,9,16,17,19,36,10,13,11,12,57,83,0.463,0.468,0,0.563,0.477,0.463,C-F,hicksje01
244,A'ja Wilson,0.462,74,47,33,2018,21,LVA,33,33,1,1010,245,530,245,530,0,0,192,248,66,198,264,74,27,55,47,68,682,0.462,0.462,,0.774,0.534,0.462,C,wilsoa01
245,Tanisha Wright,0.462,53,40,34,2005,21,SEA,34,8,0,528,49,106,49,105,0,1,24,36,20,37,57,53,18,3,40,60,122,0.462,0.467,0,0.667,0.501,0.462,G,wrighta01
246,Kara Braxton,0.462,14,52,33,2005,22,DET,33,2,0,455,97,210,97,209,0,1,33,60,42,58,100,14,18,13,52,78,227,0.462,0.464,0,0.55,0.48,0.462,C-F,braxtka01
247,Leilani Mitchell,0.462,97,39,34,2008,23,NYL,34,5,0,518,39,105,20,58,19,47,34,42,14,43,57,97,17,3,39,43,131,0.371,0.345,0.404,0.81,0.53,0.462,G,mitchle03
248,Latasha Byears,0.462,48,67,28,1997,23,SAC,28,19,0,656,96,209,95,204,1,5,51,69,87,106,193,48,39,8,67,98,244,0.459,0.466,0.2,0.739,0.51,0.462,G-F,byearla01
249,Kahleah Copper,0.462,23,33,30,2016,21,WAS,30,3,0,487,65,156,51,126,14,30,43,63,13,79,92,23,15,2,33,54,187,0.417,0.405,0.467,0.683,0.509,0.462,G-F,coppeka01
250,Marianna Tolo,0.462,29,27,28,2015,25,LAS,28,14,0,531,54,117,54,110,0,7,29,36,21,62,83,29,7,28,27,84,137,0.462,0.491,0,0.806,0.516,0.462,C,toloma01
251,Clarissa Dos Santos,0.461,22,38,31,2015,27,CHI,31,7,0,544,65,141,65,141,0,0,33,48,55,89,144,22,18,18,38,78,163,0.461,0.461,,0.688,0.503,0.461,C,dossacl01
252,Kelsey Bone,0.46,25,52,34,2013,21,NYL,34,2,0,663,99,215,99,214,0,1,36,57,73,112,185,25,12,12,52,87,234,0.46,0.463,0,0.632,0.487,0.46,C,boneke01
253,Kiki Iriafen,0.46,30,42,22,2025,21,WAS,22,22,1,588,99,215,99,213,0,2,64,83,61,125,186,30,15,3,42,73,262,0.46,0.465,0,0.771,0.521,0.46,F,iriafki01
254,Polina Tzekova,0.46,32,52,32,1999,31,HOU,32,32,0,778,76,177,65,133,11,44,31,40,54,109,163,32,13,19,52,118,194,0.429,0.489,0.25,0.775,0.498,0.46,C,tzekopo01
255,DeWanna Bonner,0.46,13,34,34,2009,21,PHO,34,0,0,724,127,278,125,265,2,13,125,154,70,126,196,13,23,25,34,70,381,0.457,0.472,0.154,0.812,0.551,0.46,G-F,bonnede01
