Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
590,Arella Guirantes,0.305,15,12,25,2021,23,LAS,25,2,0,291,26,95,20,68,6,27,21,26,6,27,33,15,8,4,12,26,79,0.274,0.294,0.222,0.808,0.371,0.305,G,guiraar01
591,Kathleen Doyle,0.305,19,18,18,2020,22,IND,18,0,0,155,10,41,5,20,5,21,2,4,3,12,15,19,7,0,18,26,27,0.244,0.25,0.238,0.5,0.316,0.305,G,doyleka01
592,Lexie Hull,0.305,18,18,26,2022,22,IND,26,4,0,334,28,105,20,62,8,43,36,40,11,29,40,18,15,2,18,47,100,0.267,0.323,0.186,0.9,0.408,0.305,G,hullle01
593,Alex Harden,0.303,29,29,32,2015,22,PHO,32,0,0,391,24,89,18,66,6,23,12,13,11,35,46,29,23,13,29,46,66,0.27,0.273,0.261,0.923,0.348,0.303,G,hardeal01
594,Ashley Shields,0.301,20,44,26,2007,22,HOU,26,0,0,304,38,138,31,120,7,18,54,73,14,19,33,20,10,1,44,25,137,0.275,0.258,0.389,0.74,0.403,0.301,G,shielas01
595,Umeki Webb,0.301,68,55,28,1997,22,PHO,28,17,0,775,47,158,46,143,1,15,46,67,42,75,117,68,68,8,55,92,141,0.297,0.322,0.067,0.687,0.376,0.301,G-F,webbum01
596,Jameka Jones,0.3,10,25,21,2000,21,MIA,21,0,0,233,25,95,18,60,7,35,13,18,10,12,22,10,8,0,25,40,70,0.263,0.3,0.2,0.722,0.34,0.3,G,jonesja06
597,Sequoia Holmes,0.29,11,14,17,2008,22,HOU,17,3,0,203,16,62,12,45,4,17,16,22,12,23,35,11,8,1,14,19,52,0.258,0.267,0.235,0.727,0.363,0.29,G,holmese01
598,Monica Maxwell,0.29,10,11,20,1999,22,WAS,20,0,0,141,11,50,4,17,7,33,5,9,3,19,22,10,5,1,11,9,34,0.22,0.235,0.212,0.556,0.315,0.29,F,maxwemo01
599,Erica White,0.29,47,49,34,2008,21,HOU,34,2,0,426,25,88,24,81,1,7,70,78,14,33,47,47,23,3,49,60,121,0.284,0.296,0.143,0.897,0.495,0.29,G,whiteer02
600,Laure Savasta,0.289,12,21,14,1997,23,SAC,14,0,0,157,11,45,7,25,4,20,7,9,1,5,6,12,4,1,21,14,33,0.244,0.28,0.2,0.778,0.337,0.289,G,savasla01
601,Vedrana Grgin-Fonseca,0.282,12,14,18,2000,25,LAS,18,0,0,183,17,62,16,45,1,17,14,23,9,14,23,12,3,1,14,17,49,0.274,0.356,0.059,0.609,0.34,0.282,F,grginve01
602,Samantha Logic,0.28,31,25,27,2015,22,ATLSAS,27,0,0,342,18,75,12,44,6,31,6,7,7,31,38,31,8,7,25,19,48,0.24,0.273,0.194,0.857,0.307,0.28,G,logicsa01
603,Tai Dillard,0.277,15,14,24,2003,22,SAS,24,0,0,168,16,65,12,42,4,23,5,6,1,14,15,15,7,4,14,22,41,0.246,0.286,0.174,0.833,0.303,0.277,G,dillata01
604,Jamila Wideman,0.269,103,51,28,1997,21,LAS,28,14,0,633,25,106,18,70,7,36,27,34,16,41,57,103,24,1,51,44,84,0.236,0.257,0.194,0.794,0.347,0.269,G,widemja01
605,Nikki Blue,0.269,36,18,24,2006,22,WAS,24,0,0,181,14,54,13,42,1,12,25,31,7,13,20,36,18,0,18,36,54,0.259,0.31,0.083,0.806,0.399,0.269,G,blueni01
606,Hind Ben Abdelkader,0.256,11,13,14,2018,22,IND,14,0,0,142,8,43,2,14,6,29,7,8,1,13,14,11,4,1,13,10,29,0.186,0.143,0.207,0.875,0.312,0.256,G,benahi01
607,Kate Starbird,0.236,14,17,24,1999,23,SAC,24,1,0,215,12,55,10,40,2,15,22,27,9,14,23,14,13,4,17,23,48,0.218,0.25,0.133,0.815,0.359,0.236,F-G,starbka01
608,Jessica Bibby,0.222,11,12,17,2000,20,NYL,17,0,0,69,3,18,1,12,2,6,11,13,3,2,5,11,3,0,12,9,19,0.167,0.083,0.333,0.846,0.401,0.222,G,bibbyje01
609,Shona Thorburn,0.204,19,14,22,2006,23,MIN,22,0,0,143,5,27,4,19,1,8,5,8,4,14,18,19,4,2,14,11,16,0.185,0.211,0.125,0.625,0.262,0.204,G,thorbsh01
610,Cara Consuegra,0,10,11,15,2001,22,UTA,15,0,0,50,0,5,0,3,0,2,2,4,1,5,6,10,4,0,11,4,2,0,0,0,0.5,0.148,0,G,consuca01
