"team","opponent","date","hca","points","fga","orb","tov","fta","opp_points","opp_fga","opp_orb","opp_tov","opp_fta"
"Massachusetts","Army",2024-11-23,1,50,55,11,2,22,56,49,9,1,23
"McNeese","Utah Tech",2024-11-23,1,69,64,8,0,8,79,60,11,0,30
"Memphis","Murray State",2024-11-23,1,83,78,13,0,10,87,65,11,1,33
"Merrimack","NJIT",2024-11-23,1,87,69,15,2,12,76,58,6,0,13
"Missouri State","Missouri State",2024-11-23,-1,91,67,21,0,27,91,67,21,0,27
"Murray State","Murray State",2024-11-23,-1,87,65,11,1,33,87,65,11,1,33
"NJIT","NJIT",2024-11-23,-1,76,58,6,0,13,76,58,6,0,13
"Navy","Navy",2024-11-23,-1,75,69,21,0,15,75,69,21,0,15
"New Hampshire","New Hampshire",2024-11-23,-1,55,57,16,2,20,55,57,16,2,20
"New Mexico Highlands","New Mexico Highlands",2024-11-23,-1,54,60,7,2,1,54,60,7,2,1
"New Orleans","New Orleans",2024-11-23,-1,70,68,16,0,16,70,68,16,0,16
"Norfolk State","Norfolk State",2024-11-23,-1,71,71,13,0,5,71,71,13,0,5
"North Carolina","Ball State",2024-11-23,1,63,50,9,1,22,52,51,7,1,14
"North Florida","North Florida",2024-11-23,-1,61,48,9,1,17,61,48,9,1,17
"Northern Arizona","Northern Arizona",2024-11-23,-1,84,76,17,0,18,84,76,17,0,18
"Northern Colorado","Northern Colorado",2024-11-23,-1,67,48,5,1,35,67,48,5,1,35
"Northern Kentucky","Northern Kentucky",2024-11-23,-1,73,60,7,0,16,73,60,7,0,16
"Northwestern","Harvard",2024-11-23,1,50,48,9,2,15,75,63,22,1,21
"Notre Dame","Notre Dame",2024-11-23,-1,74,62,7,0,16,74,62,7,0,16
"Ohio Dominican","Ohio Dominican",2024-11-23,-1,52,69,10,0,12,52,69,10,0,12
"Omaha","Omaha",2024-11-23,-1,65,58,8,0,8,65,58,8,0,8
"Penn State","Georgia",2024-11-23,1,67,63,13,2,5,47,64,15,1,9
"Pittsburgh","Robert Morris",2024-11-23,1,64,63,15,1,12,51,58,5,1,10
"Portland","California Baptist",2024-11-23,1,85,61,8,0,19,66,63,11,0,10
"Radford","Eastern Kentucky",2024-11-23,1,40,51,10,1,20,87,60,5,1,12
"Rhode Island","Brown",2024-11-23,1,63,69,28,0,23,58,61,12,0,9
"Robert Morris","Robert Morris",2024-11-23,-1,51,58,5,1,10,51,58,5,1,10
"SE Louisiana","SE Louisiana",2024-11-23,-1,59,50,5,1,10,59,50,5,1,10
"Saint Louis","Missouri State",2024-11-23,1,68,51,6,0,16,91,67,21,0,27
"Saint Peter's","Saint Peter's",2024-11-23,-1,50,63,11,0,6,50,63,11,0,6
"Sam Houston","Arkansas-Pine Bluff",2024-11-23,1,67,64,21,0,31,48,57,15,0,16
"Seattle U","Evergreen State",2024-11-23,1,88,69,9,1,10,43,67,14,1,4
"Siena","Siena",2024-11-23,-1,51,61,16,1,22,51,61,16,1,22
"South Dakota State","South Dakota State",2024-11-23,-1,57,60,8,0,9,57,60,8,0,9
"Southern Indiana","Northern Kentucky",2024-11-23,1,75,68,13,0,14,73,60,7,0,16
"Southern Miss","Southern Miss",2024-11-23,-1,55,55,7,0,7,55,55,7,0,7
"St. Bonaventure","Colgate",2024-11-23,1,72,46,3,0,21,82,70,20,0,12
"Temple","Drexel",2024-11-23,1,52,66,20,1,9,43,60,16,0,5
"Tennessee Tech","Tennessee Tech",2024-11-23,-1,48,49,10,1,9,48,49,10,1,9
"Texas A&M","Villanova",2024-11-23,1,57,54,9,0,14,65,59,4,0,18
"Texas Tech","New Orleans",2024-11-23,1,78,69,12,0,23,70,68,16,0,16
"Tulsa","Tulsa",2024-11-23,-1,80,65,15,0,25,80,65,15,0,25
"UAlbany","Cornell",2024-11-23,1,54,47,6,1,12,47,44,4,3,13
"UNC Asheville","UNC Asheville",2024-11-23,-1,51,43,14,1,20,51,43,14,1,20
"UNC Wilmington","Norfolk State",2024-11-23,1,52,49,9,0,18,71,71,13,0,5
"USC","Notre Dame",2024-11-23,1,61,67,12,0,15,74,62,7,0,16
"UT Rio Grande Valley","Arlington Baptist",2024-11-23,1,110,90,28,0,17,37,64,13,1,10
"UTEP","New Mexico Highlands",2024-11-23,1,83,51,8,0,29,54,60,7,2,1
"Utah Tech","Utah Tech",2024-11-23,-1,79,60,11,0,30,79,60,11,0,30
"Utah Valley","Bethesda University",2024-11-23,1,89,77,20,0,31,56,55,17,2,22
"Vermont","Vermont",2024-11-23,-1,52,45,8,2,16,52,45,8,2,16
"Villanova","Villanova",2024-11-23,-1,65,59,4,0,18,65,59,4,0,18
"Virginia Tech","Elon",2024-11-23,1,87,67,17,0,26,69,52,7,0,30
"Wake Forest","Davidson",2024-11-23,1,60,48,8,1,27,55,46,4,0,14
"Western Michigan","Western Michigan",2024-11-23,-1,63,53,7,0,17,63,53,7,0,17
"Winthrop","North Florida",2024-11-23,1,71,44,11,0,24,61,48,9,1,17
"Wisconsin","Omaha",2024-11-23,1,67,54,14,1,16,65,58,8,0,8
"Xavier","Xavier",2024-11-23,-1,69,66,6,0,11,69,66,6,0,11
"Youngstown State","Youngstown State",2024-11-23,-1,36,60,15,1,30,36,60,15,1,30
"Abilene Christian","Abilene Christian",2024-11-24,-1,61,58,13,2,10,61,58,13,2,10
"Akron","Akron",2024-11-24,-1,65,56,11,0,10,65,56,11,0,10
"App State","Richmond",2024-11-24,1,61,63,14,0,14,73,54,8,0,31
"Arkansas","Arkansas State",2024-11-24,1,76,67,11,1,12,60,74,14,0,7
"Arkansas State","Arkansas State",2024-11-24,-1,60,74,14,0,7,60,74,14,0,7
"Austin Peay","Mercer",2024-11-24,1,66,47,12,0,22,53,47,6,2,12
"Ball State","Texas A&M",2024-11-24,1,75,53,5,1,20,62,55,14,0,20
"Baylor","Indiana",2024-11-24,1,65,63,16,1,26,73,56,12,0,30
"Bellarmine","Akron",2024-11-24,1,72,54,8,1,15,65,56,11,0,10
"Bethune-Cookman","Bethune-Cookman",2024-11-24,-1,48,68,12,0,20,48,68,12,0,20
"Boise State","Weber State",2024-11-24,1,96,68,16,0,23,46,53,4,0,16
"Bowling Green","Bowling Green",2024-11-24,-1,53,57,11,1,15,53,57,11,1,15
"Bradley","Western Illinois",2024-11-24,1,41,47,6,0,22,62,63,15,0,9
"Bryant & Stratton","Bryant & Stratton",2024-11-24,-1,43,49,8,0,23,43,49,8,0,23
"Butler","UMass Lowell",2024-11-24,1,69,49,11,0,17,44,47,8,1,14
"Cal State Fullerton","Cal State Fullerton",2024-11-24,-1,52,63,16,0,18,52,63,16,0,18
"Cal State Northridge","Cal State Northridge",2024-11-24,-1,44,58,8,0,14,44,58,8,0,14
"Central Michigan","Oakland",2024-11-24,1,65,70,27,0,22,76,62,15,0,27
"Cincinnati","Cincinnati",2024-11-24,-1,52,50,12,1,10,52,50,12,1,10
"Columbia","Columbia",2024-11-24,-1,85,68,20,0,18,85,68,20,0,18
"Coppin State","Coppin State",2024-11-24,-1,59,55,12,0,26,59,55,12,0,26
"Davidson","Presbyterian",2024-11-24,1,81,63,16,1,30,39,44,8,2,11
"Delaware","Delaware",2024-11-24,-1,53,49,10,1,13,53,49,10,1,13
"Denver","UC San Diego",2024-11-24,1,67,54,9,3,26,59,57,9,0,16
"Drake","Drake",2024-11-24,-1,78,61,11,2,13,78,61,11,2,13
"Eastern Washington","Eastern Washington",2024-11-24,-1,55,58,9,1,8,55,58,9,1,8
"Florida A&M","Florida A&M",2024-11-24,-1,55,61,14,1,15,55,61,14,1,15
"Florida Gulf Coast","Cincinnati",2024-11-24,1,59,45,5,4,14,52,50,12,1,10
"Gonzaga","Gonzaga",2024-11-24,-1,81,64,16,1,14,81,64,16,1,14
"Harvard","Harvard",2024-11-24,-1,72,69,19,0,11,72,69,19,0,11
"Hawai'i","Eastern Washington",2024-11-24,1,67,61,9,1,12,55,58,9,1,8
"Houston","North Texas",2024-11-24,1,53,56,11,0,19,69,48,9,1,16
"IU Indianapolis","IU Indianapolis",2024-11-24,-1,50,57,7,1,14,50,57,7,1,14
"Idaho State","Idaho State",2024-11-24,-1,46,56,14,2,12,46,56,14,2,12
"Illinois State","Harvard",2024-11-24,1,62,49,11,0,21,72,69,19,0,11
"Incarnate Word","Abilene Christian",2024-11-24,1,53,54,14,1,7,61,58,13,2,10
"Indiana","Indiana",2024-11-24,-1,73,56,12,0,30,73,56,12,0,30
"Iowa","Washington State",2024-11-24,1,72,69,18,0,21,43,62,11,0,3
"Iowa State","Drake",2024-11-24,1,80,71,8,0,9,78,61,11,2,13
"Jackson State","Jackson State",2024-11-24,-1,37,58,7,1,7,37,58,7,1,7
"Jacksonville","Mississippi State",2024-11-24,1,35,53,8,0,22,80,66,20,0,22
"Liberty","Liberty",2024-11-24,-1,64,56,11,0,21,64,56,11,0,21
"Long Beach State","Long Beach State",2024-11-24,-1,56,62,12,0,19,56,62,12,0,19
"Louisville","Louisville",2024-11-24,-1,64,59,12,1,12,64,59,12,1,12
"Maine","Quinnipiac",2024-11-24,1,53,63,7,0,4,61,50,2,0,11
"Manhattan","Manhattan",2024-11-24,-1,60,54,11,2,5,60,54,11,2,5
"Marquette","IU Indianapolis",2024-11-24,1,83,60,10,0,19,50,57,7,1,14
"Maryland","St. Francis (PA)",2024-11-24,1,107,71,18,0,24,35,53,10,1,12
"Mercer","Mercer",2024-11-24,-1,53,47,6,2,12,53,47,6,2,12
"Mercyhurst","Bryant & Stratton",2024-11-24,1,109,78,15,0,29,43,49,8,0,23
"Michigan","Long Beach State",2024-11-24,1,111,79,23,0,27,56,62,12,0,19
"Milwaukee","Northern Illinois",2024-11-24,1,60,61,8,0,9,67,59,9,0,7
"Minnesota","Montana",2024-11-24,1,84,74,9,0,18,45,55,7,0,16
"Mississippi State","Mississippi State",2024-11-24,-1,80,66,20,0,22,80,66,20,0,22
"Montana","Montana",2024-11-24,-1,45,55,7,0,16,45,55,7,0,16
"Montana State","Montana State",2024-11-24,-1,53,56,10,1,7,53,56,10,1,7
