"season","team","conf","W","L","wpct","playoff"
2009,"Indiana Fever","e",22,12,0.647058823529412,TRUE
2009,"Atlanta Dream","e",18,16,0.529411764705882,TRUE
2009,"Detroit Shock","e",18,16,0.529411764705882,TRUE
2009,"Washington Mystics","e",16,18,0.470588235294118,TRUE
2009,"Chicago Sky","e",16,18,0.470588235294118,FALSE
2009,"Connecticut Sun","e",16,18,0.470588235294118,FALSE
2009,"New York Liberty","e",13,21,0.382352941176471,FALSE
2009,"Phoenix Mercury","w",23,11,0.676470588235294,TRUE
2009,"Seattle Storm","w",20,14,0.588235294117647,TRUE
2009,"Los Angeles Sparks","w",18,16,0.529411764705882,TRUE
2009,"San Antonio Silver Stars","w",15,19,0.441176470588235,TRUE
2009,"Minnesota Lynx","w",14,20,0.411764705882353,FALSE
2009,"Sacramento Monarchs","w",12,22,0.352941176470588,FALSE
2010,"New York Liberty","e",22,12,0.647058823529412,TRUE
2010,"Washington Mystics","e",22,12,0.647058823529412,TRUE
2010,"Indiana Fever","e",21,13,0.61764705882353,TRUE
2010,"Atlanta Dream","e",19,15,0.558823529411765,TRUE
2010,"Connecticut Sun","e",17,17,0.5,FALSE
2010,"Chicago Sky","e",14,20,0.411764705882353,FALSE
2010,"Seattle Storm","w",28,6,0.823529411764706,TRUE
2010,"Phoenix Mercury","w",15,19,0.441176470588235,TRUE
2010,"San Antonio Silver Stars","w",14,20,0.411764705882353,TRUE
2010,"Los Angeles Sparks","w",13,21,0.382352941176471,TRUE
2010,"Minnesota Lynx","w",13,21,0.382352941176471,FALSE
2010,"Tulsa Shock","w",6,28,0.176470588235294,FALSE
2011,"Connecticut Sun","e",21,13,0.61764705882353,TRUE
2011,"Indiana Fever","e",21,13,0.61764705882353,TRUE
2011,"Atlanta Dream","e",20,14,0.588235294117647,TRUE
2011,"New York Liberty","e",19,15,0.558823529411765,TRUE
2011,"Chicago Sky","e",14,20,0.411764705882353,FALSE
2011,"Washington Mystics","e",6,28,0.176470588235294,FALSE
2011,"Minnesota Lynx","w",27,7,0.794117647058823,TRUE
2011,"Seattle Storm","w",21,13,0.61764705882353,TRUE
2011,"Phoenix Mercury","w",19,15,0.558823529411765,TRUE
2011,"San Antonio Silver Stars","w",18,16,0.529411764705882,TRUE
2011,"Los Angeles Sparks","w",15,19,0.441176470588235,FALSE
2011,"Tulsa Shock","w",3,31,0.0882352941176471,FALSE
2012,"Connecticut Sun","e",25,9,0.735294117647059,TRUE
2012,"Indiana Fever","e",22,12,0.647058823529412,TRUE
2012,"Atlanta Dream","e",19,15,0.558823529411765,TRUE
2012,"New York Liberty","e",15,19,0.441176470588235,TRUE
2012,"Chicago Sky","e",14,20,0.411764705882353,FALSE
2012,"Washington Mystics","e",5,29,0.147058823529412,FALSE
2012,"Minnesota Lynx","w",27,7,0.794117647058823,TRUE
2012,"Los Angeles Sparks","w",24,10,0.705882352941177,TRUE
2012,"San Antonio Silver Stars","w",21,13,0.61764705882353,TRUE
2012,"Seattle Storm","w",16,18,0.470588235294118,TRUE
2012,"Tulsa Shock","w",9,25,0.264705882352941,FALSE
2012,"Phoenix Mercury","w",7,27,0.205882352941176,FALSE
2013,"Chicago Sky","e",24,10,0.705882352941177,TRUE
