"season","series_idx","round","opening","fmt","bestof","winner","w_seed","wW","wL","loser","l_seed","lW","lL","ww","wl","comparable","higher_won"
2000,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"New York Liberty","E1",20,12,"Washington Mystics","E4",14,18,2,0,TRUE,TRUE
2000,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Houston Comets","W2",27,5,"Sacramento Monarchs","W3",21,11,2,0,TRUE,TRUE
2000,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",28,4,"Phoenix Mercury","W4",20,12,2,0,TRUE,TRUE
2001,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",28,4,"Charlotte Sting","E4",18,14,2,0,FALSE,NA
2001,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Charlotte Sting","E4",18,14,"New York Liberty","E2",21,11,2,1,TRUE,FALSE
2001,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",28,4,"Sacramento Monarchs","W2",20,12,2,1,TRUE,TRUE
2001,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Charlotte Sting","E4",18,14,"Cleveland Rockers","E1",22,10,2,1,TRUE,FALSE
2001,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"New York Liberty","E2",21,11,"Miami Sol","E3",20,12,2,1,TRUE,TRUE
2001,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",28,4,"Houston Comets","W4",19,13,2,0,TRUE,TRUE
2001,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W2",20,12,"Utah Starzz","W3",19,13,2,0,TRUE,TRUE
2002,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",25,7,"New York Liberty","E1",18,14,2,0,FALSE,NA
2002,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"New York Liberty","E1",18,14,"Washington Mystics","E3",17,15,2,1,TRUE,TRUE
2002,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",25,7,"Utah Starzz","W3",20,12,2,0,TRUE,TRUE
2002,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"New York Liberty","E1",18,14,"Indiana Fever","E4",16,16,2,1,TRUE,TRUE
2002,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Washington Mystics","E3",17,15,"Charlotte Sting","E2",18,14,2,0,TRUE,FALSE
2002,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",25,7,"Seattle Storm","W4",17,15,2,0,TRUE,TRUE
2002,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Utah Starzz","W3",20,12,"Houston Comets","W2",24,8,2,1,TRUE,FALSE
2003,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Detroit Shock","E1",25,9,"Los Angeles Sparks","W1",24,10,2,1,FALSE,NA
2003,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Detroit Shock","E1",25,9,"Connecticut Sun","E3",18,16,2,0,TRUE,TRUE
2003,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",24,10,"Sacramento Monarchs","W3",19,15,2,1,TRUE,TRUE
2003,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Connecticut Sun","E3",18,16,"Charlotte Sting","E2",18,16,2,0,TRUE,FALSE
2003,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Detroit Shock","E1",25,9,"Cleveland Rockers","E4",17,17,2,1,TRUE,TRUE
2003,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",24,10,"Minnesota Lynx","W4",18,16,2,1,TRUE,TRUE
2003,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W3",19,15,"Houston Comets","W2",20,14,2,1,TRUE,FALSE
