"season","series_idx","round","fmt","game","away","away_pts","home","home_pts","higher","home_is_higher","home_won"
2023,1,"Finals","bo5",1,"New York Liberty",82,"Las Vegas Aces",99,"Las Vegas Aces",TRUE,TRUE
2023,1,"Finals","bo5",2,"New York Liberty",76,"Las Vegas Aces",104,"Las Vegas Aces",TRUE,TRUE
2023,1,"Finals","bo5",3,"Las Vegas Aces",73,"New York Liberty",87,"Las Vegas Aces",FALSE,TRUE
2023,1,"Finals","bo5",4,"Las Vegas Aces",70,"New York Liberty",69,"Las Vegas Aces",FALSE,FALSE
2023,2,"Semifinals","bo5",1,"Dallas Wings",83,"Las Vegas Aces",97,"Las Vegas Aces",TRUE,TRUE
2023,2,"Semifinals","bo5",2,"Dallas Wings",84,"Las Vegas Aces",91,"Las Vegas Aces",TRUE,TRUE
2023,2,"Semifinals","bo5",3,"Las Vegas Aces",64,"Dallas Wings",61,"Las Vegas Aces",FALSE,FALSE
2023,3,"Semifinals","bo5",1,"Connecticut Sun",78,"New York Liberty",63,"New York Liberty",TRUE,FALSE
2023,3,"Semifinals","bo5",2,"Connecticut Sun",77,"New York Liberty",84,"New York Liberty",TRUE,TRUE
2023,3,"Semifinals","bo5",3,"New York Liberty",92,"Connecticut Sun",81,"New York Liberty",FALSE,FALSE
2023,3,"Semifinals","bo5",4,"New York Liberty",87,"Connecticut Sun",84,"New York Liberty",FALSE,FALSE
2023,4,"First Round","bo3 2-1 (22-24)",1,"Minnesota Lynx",60,"Connecticut Sun",90,"Connecticut Sun",TRUE,TRUE
2023,4,"First Round","bo3 2-1 (22-24)",2,"Minnesota Lynx",82,"Connecticut Sun",75,"Connecticut Sun",TRUE,FALSE
2023,4,"First Round","bo3 2-1 (22-24)",3,"Connecticut Sun",90,"Minnesota Lynx",75,"Connecticut Sun",FALSE,FALSE
2023,5,"First Round","bo3 2-1 (22-24)",1,"Atlanta Dream",82,"Dallas Wings",94,"Dallas Wings",TRUE,TRUE
2023,5,"First Round","bo3 2-1 (22-24)",2,"Atlanta Dream",74,"Dallas Wings",101,"Dallas Wings",TRUE,TRUE
2023,6,"First Round","bo3 2-1 (22-24)",1,"Chicago Sky",59,"Las Vegas Aces",87,"Las Vegas Aces",TRUE,TRUE
2023,6,"First Round","bo3 2-1 (22-24)",2,"Chicago Sky",70,"Las Vegas Aces",92,"Las Vegas Aces",TRUE,TRUE
2023,7,"First Round","bo3 2-1 (22-24)",1,"Washington Mystics",75,"New York Liberty",90,"New York Liberty",TRUE,TRUE
2023,7,"First Round","bo3 2-1 (22-24)",2,"Washington Mystics",85,"New York Liberty",90,"New York Liberty",TRUE,TRUE
2024,1,"Finals","bo5",1,"Minnesota Lynx",95,"New York Liberty",93,"New York Liberty",TRUE,FALSE
2024,1,"Finals","bo5",2,"Minnesota Lynx",66,"New York Liberty",80,"New York Liberty",TRUE,TRUE
2024,1,"Finals","bo5",3,"New York Liberty",80,"Minnesota Lynx",77,"New York Liberty",FALSE,FALSE
2024,1,"Finals","bo5",4,"New York Liberty",80,"Minnesota Lynx",82,"New York Liberty",FALSE,TRUE
2024,1,"Finals","bo5",5,"Minnesota Lynx",62,"New York Liberty",67,"New York Liberty",TRUE,TRUE
2024,2,"Semifinals","bo5",1,"Connecticut Sun",73,"Minnesota Lynx",70,"Minnesota Lynx",TRUE,FALSE
2024,2,"Semifinals","bo5",2,"Connecticut Sun",70,"Minnesota Lynx",77,"Minnesota Lynx",TRUE,TRUE
2024,2,"Semifinals","bo5",3,"Minnesota Lynx",90,"Connecticut Sun",81,"Minnesota Lynx",FALSE,FALSE
2024,2,"Semifinals","bo5",4,"Minnesota Lynx",82,"Connecticut Sun",92,"Minnesota Lynx",FALSE,TRUE
2024,2,"Semifinals","bo5",5,"Connecticut Sun",77,"Minnesota Lynx",88,"Minnesota Lynx",TRUE,TRUE
2024,3,"Semifinals","bo5",1,"Las Vegas Aces",77,"New York Liberty",87,"New York Liberty",TRUE,TRUE
2024,3,"Semifinals","bo5",2,"Las Vegas Aces",84,"New York Liberty",88,"New York Liberty",TRUE,TRUE
2024,3,"Semifinals","bo5",3,"New York Liberty",81,"Las Vegas Aces",95,"New York Liberty",FALSE,TRUE
2024,3,"Semifinals","bo5",4,"New York Liberty",76,"Las Vegas Aces",62,"New York Liberty",FALSE,FALSE
2024,4,"First Round","bo3 2-1 (22-24)",1,"Indiana Fever",69,"Connecticut Sun",93,"Connecticut Sun",TRUE,TRUE
2024,4,"First Round","bo3 2-1 (22-24)",2,"Indiana Fever",81,"Connecticut Sun",87,"Connecticut Sun",TRUE,TRUE
2024,5,"First Round","bo3 2-1 (22-24)",1,"Seattle Storm",67,"Las Vegas Aces",78,"Las Vegas Aces",TRUE,TRUE
2024,5,"First Round","bo3 2-1 (22-24)",2,"Seattle Storm",76,"Las Vegas Aces",83,"Las Vegas Aces",TRUE,TRUE
2024,6,"First Round","bo3 2-1 (22-24)",1,"Phoenix Mercury",95,"Minnesota Lynx",102,"Minnesota Lynx",TRUE,TRUE
2024,6,"First Round","bo3 2-1 (22-24)",2,"Phoenix Mercury",88,"Minnesota Lynx",101,"Minnesota Lynx",TRUE,TRUE
2024,7,"First Round","bo3 2-1 (22-24)",1,"Atlanta Dream",69,"New York Liberty",83,"New York Liberty",TRUE,TRUE
2024,7,"First Round","bo3 2-1 (22-24)",2,"Atlanta Dream",82,"New York Liberty",91,"New York Liberty",TRUE,TRUE
2025,1,"Finals","bo7",1,"Phoenix Mercury",86,"Las Vegas Aces",89,"Las Vegas Aces",TRUE,TRUE
2025,1,"Finals","bo7",2,"Phoenix Mercury",78,"Las Vegas Aces",91,"Las Vegas Aces",TRUE,TRUE
2025,1,"Finals","bo7",3,"Las Vegas Aces",90,"Phoenix Mercury",88,"Las Vegas Aces",FALSE,FALSE
2025,1,"Finals","bo7",4,"Las Vegas Aces",97,"Phoenix Mercury",86,"Las Vegas Aces",FALSE,FALSE
2025,2,"Semifinals","bo5",1,"Indiana Fever",89,"Las Vegas Aces",73,"Las Vegas Aces",TRUE,FALSE
2025,2,"Semifinals","bo5",2,"Indiana Fever",68,"Las Vegas Aces",90,"Las Vegas Aces",TRUE,TRUE
2025,2,"Semifinals","bo5",3,"Las Vegas Aces",84,"Indiana Fever",72,"Las Vegas Aces",FALSE,FALSE
2025,2,"Semifinals","bo5",4,"Las Vegas Aces",83,"Indiana Fever",90,"Las Vegas Aces",FALSE,TRUE
2025,2,"Semifinals","bo5",5,"Indiana Fever",98,"Las Vegas Aces",107,"Las Vegas Aces",TRUE,TRUE
2025,3,"Semifinals","bo5",1,"Phoenix Mercury",69,"Minnesota Lynx",82,"Minnesota Lynx",TRUE,TRUE
2025,3,"Semifinals","bo5",2,"Phoenix Mercury",89,"Minnesota Lynx",83,"Minnesota Lynx",TRUE,FALSE
2025,3,"Semifinals","bo5",3,"Minnesota Lynx",76,"Phoenix Mercury",84,"Minnesota Lynx",FALSE,TRUE
2025,3,"Semifinals","bo5",4,"Minnesota Lynx",81,"Phoenix Mercury",86,"Minnesota Lynx",FALSE,TRUE
2025,4,"First Round","bo3 1-1-1 (25)",1,"Indiana Fever",68,"Atlanta Dream",80,"Atlanta Dream",TRUE,TRUE
2025,4,"First Round","bo3 1-1-1 (25)",2,"Atlanta Dream",60,"Indiana Fever",77,"Atlanta Dream",FALSE,TRUE
2025,4,"First Round","bo3 1-1-1 (25)",3,"Indiana Fever",87,"Atlanta Dream",85,"Atlanta Dream",TRUE,FALSE
2025,5,"First Round","bo3 1-1-1 (25)",1,"Seattle Storm",77,"Las Vegas Aces",102,"Las Vegas Aces",TRUE,TRUE
2025,5,"First Round","bo3 1-1-1 (25)",2,"Las Vegas Aces",83,"Seattle Storm",86,"Las Vegas Aces",FALSE,TRUE
2025,5,"First Round","bo3 1-1-1 (25)",3,"Seattle Storm",73,"Las Vegas Aces",74,"Las Vegas Aces",TRUE,TRUE
2025,6,"First Round","bo3 1-1-1 (25)",1,"Golden State Valkyries",72,"Minnesota Lynx",101,"Minnesota Lynx",TRUE,TRUE
2025,6,"First Round","bo3 1-1-1 (25)",2,"Minnesota Lynx",75,"Golden State Valkyries",74,"Minnesota Lynx",FALSE,FALSE
2025,7,"First Round","bo3 1-1-1 (25)",1,"New York Liberty",76,"Phoenix Mercury",69,"Phoenix Mercury",TRUE,FALSE
2025,7,"First Round","bo3 1-1-1 (25)",2,"Phoenix Mercury",86,"New York Liberty",60,"Phoenix Mercury",FALSE,FALSE
2025,7,"First Round","bo3 1-1-1 (25)",3,"New York Liberty",73,"Phoenix Mercury",79,"Phoenix Mercury",TRUE,TRUE
