"season","series_idx","round","fmt","game","away","away_pts","home","home_pts","higher","home_is_higher","home_won"
2006,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Detroit Shock",68,"Indiana Fever",56,"Detroit Shock",FALSE,FALSE
2006,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Indiana Fever",83,"Detroit Shock",98,"Detroit Shock",TRUE,TRUE
2006,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",72,"Seattle Storm",84,"Los Angeles Sparks",FALSE,TRUE
2006,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Seattle Storm",70,"Los Angeles Sparks",78,"Los Angeles Sparks",TRUE,TRUE
2006,6,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Seattle Storm",63,"Los Angeles Sparks",68,"Los Angeles Sparks",TRUE,TRUE
2006,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Sacramento Monarchs",93,"Houston Comets",78,"Sacramento Monarchs",FALSE,FALSE
2006,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Houston Comets",64,"Sacramento Monarchs",92,"Sacramento Monarchs",TRUE,TRUE
2007,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Detroit Shock",65,"Indiana Fever",75,"Detroit Shock",FALSE,TRUE
2007,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Indiana Fever",63,"Detroit Shock",77,"Detroit Shock",TRUE,TRUE
2007,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Indiana Fever",65,"Detroit Shock",81,"Detroit Shock",TRUE,TRUE
2007,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Phoenix Mercury",102,"San Antonio Silver Stars",100,"Phoenix Mercury",FALSE,FALSE
2007,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"San Antonio Silver Stars",92,"Phoenix Mercury",98,"Phoenix Mercury",TRUE,TRUE
2007,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Detroit Shock",51,"New York Liberty",73,"Detroit Shock",FALSE,TRUE
2007,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"New York Liberty",73,"Detroit Shock",76,"Detroit Shock",TRUE,TRUE
2007,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"New York Liberty",70,"Detroit Shock",71,"Detroit Shock",TRUE,TRUE
2007,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Indiana Fever",88,"Connecticut Sun",93,"Indiana Fever",FALSE,TRUE
2007,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Connecticut Sun",59,"Indiana Fever",78,"Indiana Fever",TRUE,TRUE
2007,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Connecticut Sun",88,"Indiana Fever",93,"Indiana Fever",TRUE,TRUE
2007,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Phoenix Mercury",101,"Seattle Storm",84,"Phoenix Mercury",FALSE,FALSE
2007,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Seattle Storm",89,"Phoenix Mercury",95,"Phoenix Mercury",TRUE,TRUE
2007,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"San Antonio Silver Stars",65,"Sacramento Monarchs",86,"San Antonio Silver Stars",FALSE,TRUE
2007,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",61,"San Antonio Silver Stars",86,"San Antonio Silver Stars",TRUE,TRUE
2007,7,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",78,"San Antonio Silver Stars",80,"San Antonio Silver Stars",TRUE,TRUE
2008,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Detroit Shock",56,"New York Liberty",60,"Detroit Shock",FALSE,TRUE
2008,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"New York Liberty",55,"Detroit Shock",64,"Detroit Shock",TRUE,TRUE
2008,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"New York Liberty",73,"Detroit Shock",75,"Detroit Shock",TRUE,TRUE
2008,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"San Antonio Silver Stars",70,"Los Angeles Sparks",85,"San Antonio Silver Stars",FALSE,TRUE
2008,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Los Angeles Sparks",66,"San Antonio Silver Stars",67,"San Antonio Silver Stars",TRUE,TRUE
2008,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Los Angeles Sparks",72,"San Antonio Silver Stars",76,"San Antonio Silver Stars",TRUE,TRUE
2008,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Detroit Shock",81,"Indiana Fever",72,"Detroit Shock",FALSE,FALSE
2008,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Indiana Fever",89,"Detroit Shock",82,"Detroit Shock",TRUE,FALSE
2008,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Indiana Fever",61,"Detroit Shock",80,"Detroit Shock",TRUE,TRUE
2008,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Connecticut Sun",63,"New York Liberty",72,"Connecticut Sun",FALSE,TRUE
2008,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"New York Liberty",70,"Connecticut Sun",73,"Connecticut Sun",TRUE,TRUE
2008,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"New York Liberty",66,"Connecticut Sun",62,"Connecticut Sun",TRUE,FALSE
2008,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Seattle Storm",69,"Los Angeles Sparks",77,"Seattle Storm",FALSE,TRUE
2008,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Los Angeles Sparks",50,"Seattle Storm",64,"Seattle Storm",TRUE,TRUE
2008,6,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Los Angeles Sparks",71,"Seattle Storm",64,"Seattle Storm",TRUE,FALSE
