Team,Ast,Year
Indiana Fever,511,2007
New York Liberty,487,2007
Phoenix Mercury,619,2006
Washington Mystics,576,2006
Connecticut Sun,630,2006
Seattle Storm,514,2006
Los Angeles Sparks,610,2006
Sacramento Monarchs,509,2006
Detroit Shock,572,2006
Minnesota Lynx,491,2006
San Antonio Silver Stars,540,2006
Houston Comets,532,2006
Charlotte Sting,527,2006
Indiana Fever,501,2006
Chicago Sky,509,2006
New York Liberty,457,2006
Seattle Storm,520,2005
Connecticut Sun,573,2005
Phoenix Mercury,549,2005
Sacramento Monarchs,527,2005
Los Angeles Sparks,551,2005
New York Liberty,498,2005
Houston Comets,467,2005
Washington Mystics,517,2005
Detroit Shock,474,2005
Minnesota Lynx,531,2005
Indiana Fever,493,2005
San Antonio Silver Stars,433,2005
Charlotte Sting,493,2005
Los Angeles Sparks,626,2004
Seattle Storm,552,2004
Detroit Shock,564,2004
Connecticut Sun,572,2004
Washington Mystics,467,2004
Sacramento Monarchs,519,2004
Phoenix Mercury,501,2004
New York Liberty,539,2004
Indiana Fever,555,2004
San Antonio Silver Stars,493,2004
Houston Comets,451,2004
Minnesota Lynx,526,2004
Charlotte Sting,426,2004
Detroit Shock,545,2003
Los Angeles Sparks,587,2003
Seattle Storm,548,2003
Connecticut Sun,520,2003
Minnesota Lynx,580,2003
Indiana Fever,539,2003
Washington Mystics,568,2003
Sacramento Monarchs,568,2003
Houston Comets,465,2003
New York Liberty,527,2003
Cleveland Rockers,517,2003
Charlotte Sting,499,2003
San Antonio Silver Stars,428,2003
Phoenix Mercury,461,2003
Los Angeles Sparks,583,2002
Utah Starzz,478,2002
Orlando Miracle,446,2002
Charlotte Sting,496,2002
Portland Fire,492,2002
Seattle Storm,514,2002
Sacramento Monarchs,500,2002
Washington Mystics,516,2002
Detroit Shock,478,2002
Indiana Fever,447,2002
Phoenix Mercury,427,2002
New York Liberty,496,2002
Houston Comets,450,2002
Cleveland Rockers,480,2002
Miami Sol,476,2002
Minnesota Lynx,466,2002
Los Angeles Sparks,596,2001
Sacramento Monarchs,558,2001
Utah Starzz,524,2001
New York Liberty,553,2001
Indiana Fever,458,2001
Orlando Miracle,452,2001
Detroit Shock,469,2001
Portland Fire,451,2001
Minnesota Lynx,437,2001
Phoenix Mercury,514,2001
Charlotte Sting,467,2001
Houston Comets,426,2001
Cleveland Rockers,503,2001
Miami Sol,467,2001
Washington Mystics,424,2001
Seattle Storm,412,2001
Houston Comets,494,2000
Los Angeles Sparks,586,2000
Utah Starzz,522,2000
Sacramento Monarchs,567,2000
Detroit Shock,503,2000
Phoenix Mercury,465,2000
Indiana Fever,501,2000
Orlando Miracle,473,2000
Minnesota Lynx,495,2000
Charlotte Sting,551,2000
Cleveland Rockers,539,2000
Washington Mystics,521,2000
Portland Fire,480,2000
New York Liberty,477,2000
Miami Sol,415,2000
Seattle Storm,390,2000
Los Angeles Sparks,581,1999
Sacramento Monarchs,500,1999
Houston Comets,499,1999
Utah Starzz,552,1999
Detroit Shock,464,1999
Orlando Miracle,467,1999
Phoenix Mercury,510,1999
New York Liberty,522,1999
Charlotte Sting,568,1999
Washington Mystics,461,1999
Minnesota Lynx,525,1999
Cleveland Rockers,489,1999
Houston Comets,428,1998
Phoenix Mercury,543,1998
Cleveland Rockers,575,1998
Los Angeles Sparks,472,1998
Charlotte Sting,512,1998
Utah Starzz,481,1998
Detroit Shock,432,1998
New York Liberty,513,1998
Washington Mystics,397,1998
Sacramento Monarchs,463,1998
Los Angeles Sparks,495,1997
Houston Comets,389,1997
Cleveland Rockers,456,1997
Phoenix Mercury,437,1997
New York Liberty,484,1997
Sacramento Monarchs,404,1997
Charlotte Sting,485,1997
Utah Starzz,425,1997
League Average,447,1997
