Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
206,Fordham,-,2024-12-21,-16,@,California,24,L 53-69,200,19,59,0.322,14,44,0.318,5,15,0.333,10,16,0.625,53,27,59,0.458,19,28,0.679,8,31,0.258,7,16,0.438,69,-8,0,-0.136,-5,+16,-0.36,-3,-16,+.075,+3,0,+.188,-16
207,Georgia,-,2025-02-20,-16,@,Louisiana State,7,L 63-79,200,28,66,0.424,25,50,0.5,3,16,0.188,4,8,0.5,63,29,69,0.42,23,47,0.489,6,22,0.273,15,22,0.682,79,-1,-3,+.004,+2,+3,+.011,-3,-6,-0.085,-11,-14,-0.182,-16
208,Grand Canyon,-,2024-11-18,-16,@,Oregon,23,L 54-70,200,21,60,0.35,16,40,0.4,5,20,0.25,7,10,0.7,54,23,61,0.377,14,36,0.389,9,25,0.36,15,18,0.833,70,-2,-1,-0.027,+2,+4,+.011,-4,-5,-0.11,-8,-8,-0.133,-16
209,Liberty,-,2024-11-07,-16,,Duke,11,L 67-83,200,24,54,0.444,18,34,0.529,6,20,0.3,13,16,0.813,67,29,55,0.527,21,39,0.538,8,16,0.5,17,27,0.63,83,-5,-1,-0.083,-3,-5,-0.009,-2,+4,-0.2,-4,-11,+.183,-16
210,Middle Tennessee,-,2024-11-30,-16,N,Iowa State,15,L 59-75,200,17,54,0.315,11,38,0.289,6,16,0.375,19,20,0.95,59,29,53,0.547,21,34,0.618,8,19,0.421,9,11,0.818,75,-12,+1,-0.232,-10,+4,-0.328,-2,-3,-0.046,+10,+9,+.132,-16
211,Ole Miss,-,2025-02-27,-16,,South Carolina,6,L 59-75,200,25,67,0.373,21,55,0.382,4,12,0.333,5,8,0.625,59,29,64,0.453,26,58,0.448,3,6,0.5,14,17,0.824,75,-4,+3,-0.08,-5,-3,-0.066,+1,+6,-0.167,-9,-9,-0.199,-16
212,Missouri,-,2025-02-16,-16,,Oklahoma,16,L 66-82,200,25,50,0.5,18,31,0.581,7,19,0.368,9,17,0.529,66,28,59,0.475,19,34,0.559,9,25,0.36,17,19,0.895,82,-3,-9,+.025,-1,-3,+.022,-2,-6,+.008,-8,-2,-0.365,-16
213,Oral Roberts,-,2025-03-09,-16,N,South Dakota State,25,L 68-84,200,24,72,0.333,19,55,0.345,5,17,0.294,15,19,0.789,68,27,58,0.466,16,30,0.533,11,28,0.393,19,21,0.905,84,-3,+14,-0.132,+3,+25,-0.188,-6,-11,-0.099,-4,-2,-0.115,-16
214,Penn State,-,2025-01-15,-16,@,UCLA,1,L 67-83,200,27,58,0.466,22,45,0.489,5,13,0.385,8,12,0.667,67,35,74,0.473,28,49,0.571,7,25,0.28,6,12,0.5,83,-8,-16,-0.007,-6,-4,-0.083,-2,-12,+.105,+2,0,+.167,-16
215,Pittsburgh,-,2025-01-16,-16,@,NC State,21,L 67-83,200,25,57,0.439,20,39,0.513,5,18,0.278,12,15,0.8,67,27,56,0.482,14,31,0.452,13,25,0.52,16,21,0.762,83,-2,+1,-0.044,+6,+8,+.061,-8,-7,-0.242,-4,-6,+.038,-16
216,South Florida,-,2024-12-15,-16,@,South Carolina,3,L 62-78,200,25,64,0.391,20,55,0.364,5,9,0.556,7,12,0.583,62,31,60,0.517,26,44,0.591,5,16,0.313,11,14,0.786,78,-6,+4,-0.126,-6,+11,-0.227,0,-7,+.243,-4,-2,-0.202,-16
217,Virginia Tech,-,2025-01-30,-16,,Notre Dame,3,L 61-77,200,22,58,0.379,18,43,0.419,4,15,0.267,13,20,0.65,61,27,53,0.509,18,32,0.563,9,21,0.429,14,15,0.933,77,-5,+5,-0.13,0,+11,-0.144,-5,-6,-0.162,-1,+5,-0.283,-16
218,Auburn,-,2025-02-02,-17,@,South Carolina,2,L 66-83,200,25,50,0.5,20,39,0.513,5,11,0.455,11,17,0.647,66,32,56,0.571,27,44,0.614,5,12,0.417,14,16,0.875,83,-7,-6,-0.071,-7,-5,-0.101,0,-1,+.038,-3,+1,-0.228,-17
219,Auburn,-,2025-01-16,-17,,Texas,7,L 57-74,200,21,55,0.382,19,48,0.396,2,7,0.286,13,17,0.765,57,25,55,0.455,21,47,0.447,4,8,0.5,20,23,0.87,74,-4,0,-0.073,-2,+1,-0.051,-2,-1,-0.214,-7,-6,-0.105,-17
