Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
331,Purdue,-,2025-01-11,-27,,Michigan,25,L 60-87,200,19,52,0.365,14,35,0.4,5,17,0.294,17,24,0.708,60,28,61,0.459,18,32,0.563,10,29,0.345,21,29,0.724,87,-9,-9,-0.094,-4,+3,-0.163,-5,-12,-0.051,-4,-5,-0.016,-27
332,Seton Hall,-,2024-12-17,-27,N,Louisiana State,5,L 64-91,200,22,71,0.31,14,37,0.378,8,34,0.235,12,13,0.923,64,36,67,0.537,27,47,0.574,9,20,0.45,10,13,0.769,91,-14,+4,-0.227,-13,-10,-0.196,-1,+14,-0.215,+2,0,+.154,-27
333,DePaul,-,2024-12-08,-28,@,Michigan State,24,L 61-89,200,21,73,0.288,12,55,0.218,9,18,0.5,10,14,0.714,61,31,61,0.508,18,35,0.514,13,26,0.5,14,18,0.778,89,-10,+12,-0.221,-6,+20,-0.296,-4,-8,0,-4,-4,-0.063,-28
334,Houston,-,2025-02-08,-28,,West Virginia,18,L 51-79,200,18,48,0.375,11,28,0.393,7,20,0.35,8,11,0.727,51,32,62,0.516,24,42,0.571,8,20,0.4,7,13,0.538,79,-14,-14,-0.141,-13,-14,-0.179,-1,0,-0.05,+1,-2,+.189,-28
335,Kent State,-,2024-11-14,-28,@,NC State,13,L 51-79,200,15,57,0.263,5,29,0.172,10,28,0.357,11,11,1,51,33,68,0.485,25,44,0.568,8,24,0.333,5,7,0.714,79,-18,-11,-0.222,-20,-15,-0.396,+2,+4,+.024,+6,+4,+.286,-28
336,Louisiana,-,2024-12-15,-28,@,Louisiana State,4,L 57-85,200,22,62,0.355,15,41,0.366,7,21,0.333,6,14,0.429,57,27,57,0.474,26,52,0.5,1,5,0.2,30,41,0.732,85,-5,+5,-0.119,-11,-11,-0.134,+6,+16,+.133,-24,-27,-0.303,-28
337,Pittsburgh,-,2024-11-12,-28,@,West Virginia,15,L 54-82,200,19,58,0.328,14,36,0.389,5,22,0.227,11,15,0.733,54,27,68,0.397,21,38,0.553,6,30,0.2,22,27,0.815,82,-8,-10,-0.069,-7,-2,-0.164,-1,-8,+.027,-11,-12,-0.081,-28
338,Southern,-,2024-11-10,-28,@,Iowa State,8,L 56-84,200,22,64,0.344,17,44,0.386,5,20,0.25,7,9,0.778,56,29,61,0.475,17,30,0.567,12,31,0.387,14,22,0.636,84,-7,+3,-0.132,0,+14,-0.18,-7,-11,-0.137,-7,-13,+.141,-28
339,Vanderbilt,-,2025-02-23,-28,,South Carolina,6,L 54-82,200,17,56,0.304,15,44,0.341,2,12,0.167,18,25,0.72,54,30,65,0.462,25,46,0.543,5,19,0.263,17,27,0.63,82,-13,-9,-0.158,-10,-2,-0.203,-3,-7,-0.096,+1,-2,+.090,-28
340,Villanova,-,2025-03-09,-28,N,Connecticut,3,L 54-82,200,19,61,0.311,13,31,0.419,6,30,0.2,10,11,0.909,54,30,58,0.517,22,38,0.579,8,20,0.4,14,19,0.737,82,-11,+3,-0.206,-9,-7,-0.16,-2,+10,-0.2,-4,-8,+.172,-28
341,Virginia Tech,-,2025-01-26,-28,@,NC State,20,L 57-85,200,24,61,0.393,21,45,0.467,3,16,0.188,6,11,0.545,57,36,64,0.563,32,54,0.593,4,10,0.4,9,17,0.529,85,-12,-3,-0.169,-11,-9,-0.126,-1,+6,-0.213,-3,-6,+.016,-28
342,Alcorn State,-,2024-11-14,-29,@,Alabama,22,L 59-88,200,21,64,0.328,17,49,0.347,4,15,0.267,13,18,0.722,59,29,65,0.446,20,41,0.488,9,24,0.375,21,32,0.656,88,-8,-1,-0.118,-3,+8,-0.141,-5,-9,-0.108,-8,-14,+.066,-29
343,Creighton,-,2024-12-20,-29,N,UCLA,1,L 41-70,200,14,60,0.233,9,38,0.237,5,22,0.227,8,10,0.8,41,27,66,0.409,20,45,0.444,7,21,0.333,9,11,0.818,70,-13,-6,-0.176,-11,-7,-0.208,-2,+1,-0.106,-1,-1,-0.018,-29
344,Georgia,-,2025-02-16,-29,@,Kentucky,8,L 55-84,200,20,58,0.345,17,44,0.386,3,14,0.214,12,22,0.545,55,29,60,0.483,18,37,0.486,11,23,0.478,15,17,0.882,84,-9,-2,-0.139,-1,+7,-0.1,-8,-9,-0.264,-3,+5,-0.337,-29
345,North Dakota,-,2025-03-08,-29,N,South Dakota State,25,L 55-84,200,17,58,0.293,9,31,0.29,8,27,0.296,13,18,0.722,55,32,72,0.444,23,46,0.5,9,26,0.346,11,13,0.846,84,-15,-14,-0.151,-14,-15,-0.21,-1,+1,-0.05,+2,+5,-0.124,-29
346,Northern Kentucky,-,2024-11-07,-29,@,Kentucky,22,L 41-70,200,16,61,0.262,13,42,0.31,3,19,0.158,6,10,0.6,41,30,69,0.435,25,44,0.568,5,25,0.2,5,7,0.714,70,-14,-8,-0.172,-12,-2,-0.259,-2,-6,-0.042,+1,+3,-0.114,-29
347,Seton Hall,-,2025-03-09,-29,N,Creighton,23,L 44-73,200,15,54,0.278,12,36,0.333,3,18,0.167,11,12,0.917,44,29,55,0.527,17,32,0.531,12,23,0.522,3,6,0.5,73,-14,-1,-0.249,-5,+4,-0.198,-9,-5,-0.355,+8,+6,+.417,-29
348,Utah,-,2025-02-26,-29,@,West Virginia,18,L 46-75,200,17,54,0.315,10,22,0.455,7,32,0.219,5,8,0.625,46,30,62,0.484,21,39,0.538,9,23,0.391,6,7,0.857,75,-13,-8,-0.169,-11,-17,-0.084,-2,+9,-0.173,-1,+1,-0.232,-29
349,Wake Forest,-,2025-02-02,-29,@,Florida State,25,L 68-97,200,31,69,0.449,27,54,0.5,4,15,0.267,2,5,0.4,68,34,74,0.459,21,46,0.457,13,28,0.464,16,18,0.889,97,-3,-5,-0.01,+6,+8,+.043,-9,-13,-0.198,-14,-13,-0.489,-29
350,Arizona State,-,2025-01-22,-30,,West Virginia,16,L 59-89,200,22,53,0.415,17,42,0.405,5,11,0.455,10,17,0.588,59,28,56,0.5,19,35,0.543,9,21,0.429,24,27,0.889,89,-6,-3,-0.085,-2,+7,-0.138,-4,-10,+.026,-14,-10,-0.301,-30
351,Little Rock,-,2024-11-18,-30,@,Kansas State,10,L 43-73,200,14,60,0.233,11,45,0.244,3,15,0.2,12,15,0.8,43,30,73,0.411,25,48,0.521,5,25,0.2,8,14,0.571,73,-16,-13,-0.178,-14,-3,-0.276,-2,-10,0,+4,+1,+.229,-30
352,Arkansas,-,2025-01-12,-30,,Tennessee,16,L 63-93,200,20,49,0.408,15,28,0.536,5,21,0.238,18,25,0.72,63,35,77,0.455,23,43,0.535,12,34,0.353,11,17,0.647,93,-15,-28,-0.046,-8,-15,+.001,-7,-13,-0.115,+7,+8,+.073,-30
353,UCF,-,2025-02-15,-30,@,Kansas State,14,L 67-97,200,24,63,0.381,16,39,0.41,8,24,0.333,11,15,0.733,67,35,60,0.583,21,40,0.525,14,20,0.7,13,16,0.813,97,-11,+3,-0.202,-5,-1,-0.115,-6,+4,-0.367,-2,-1,-0.079,-30
354,Charleston Southern,-,2024-11-04,-30,@,North Carolina,15,L 53-83,200,20,60,0.333,15,44,0.341,5,16,0.313,8,15,0.533,53,35,76,0.461,29,48,0.604,6,28,0.214,7,9,0.778,83,-15,-16,-0.127,-14,-4,-0.263,-1,-12,+.098,+1,+6,-0.244,-30
355,DePaul,-,2024-11-17,-30,,Texas,4,L 61-91,200,19,51,0.373,13,37,0.351,6,14,0.429,17,22,0.773,61,39,76,0.513,39,69,0.565,0,7,0,13,22,0.591,91,-20,-25,-0.141,-26,-32,-0.214,+6,+7,+.429,+4,0,+.182,-30
356,Indiana,-,2024-11-25,-30,N,North Carolina,16,L 39-69,200,16,55,0.291,12,29,0.414,4,26,0.154,3,5,0.6,39,26,61,0.426,15,38,0.395,11,23,0.478,6,13,0.462,69,-10,-6,-0.135,-3,-9,+.019,-7,+3,-0.324,-3,-8,+.138,-30
357,Kansas,-,2025-02-22,-30,@,Kansas State,12,L 60-90,200,20,55,0.364,10,35,0.286,10,20,0.5,10,10,1,60,34,64,0.531,21,36,0.583,13,28,0.464,9,16,0.563,90,-14,-9,-0.168,-11,-1,-0.298,-3,-8,+.036,+1,-6,+.438,-30
358,Louisville,-,2024-12-15,-30,,NC State,22,L 42-72,200,16,67,0.239,14,44,0.318,2,23,0.087,8,16,0.5,42,29,66,0.439,22,47,0.468,7,19,0.368,7,10,0.7,72,-13,+1,-0.201,-8,-3,-0.15,-5,+4,-0.281,+1,+6,-0.2,-30
359,UNLV,-,2024-11-22,-30,,Oklahoma,9,L 58-88,200,21,67,0.313,13,38,0.342,8,29,0.276,8,12,0.667,58,35,73,0.479,23,44,0.523,12,29,0.414,6,8,0.75,88,-14,-6,-0.166,-10,-6,-0.181,-4,0,-0.138,+2,+4,-0.083,-30
360,Northwestern,-,2025-01-05,-30,@,Ohio State,10,L 62-92,200,26,56,0.464,24,45,0.533,2,11,0.182,8,11,0.727,62,32,69,0.464,25,48,0.521,7,21,0.333,21,29,0.724,92,-6,-13,+.001,-1,-3,+.013,-5,-10,-0.152,-13,-18,+.003,-30
361,Purdue,-,2024-12-14,-30,,Kentucky,16,L 52-82,200,23,65,0.354,20,46,0.435,3,19,0.158,3,10,0.3,52,30,63,0.476,20,30,0.667,10,33,0.303,12,12,1,82,-7,+2,-0.122,0,+16,-0.232,-7,-14,-0.145,-9,-2,-0.7,-30
362,Southern,-,2024-11-25,-30,N,NC State,20,L 47-77,200,17,56,0.304,12,34,0.353,5,22,0.227,8,14,0.571,47,26,56,0.464,21,36,0.583,5,20,0.25,20,30,0.667,77,-9,0,-0.161,-9,-2,-0.23,0,+2,-0.023,-12,-16,-0.095,-30
363,Wichita State,-,2024-11-19,-30,,Oklahoma,9,L 49-79,200,19,63,0.302,16,48,0.333,3,15,0.2,8,12,0.667,49,31,66,0.47,21,45,0.467,10,21,0.476,7,14,0.5,79,-12,-3,-0.168,-5,+3,-0.133,-7,-6,-0.276,+1,-2,+.167,-30
364,Wisconsin,-,2025-02-26,-30,,UCLA,2,L 61-91,200,23,60,0.383,19,44,0.432,4,16,0.25,11,17,0.647,61,37,67,0.552,27,42,0.643,10,25,0.4,7,8,0.875,91,-14,-7,-0.169,-8,+2,-0.211,-6,-9,-0.15,+4,+9,-0.228,-30
365,Bowling Green,-,2024-11-19,-31,@,West Virginia,13,L 47-78,200,18,45,0.4,15,33,0.455,3,12,0.25,8,13,0.615,47,30,57,0.526,24,39,0.615,6,18,0.333,12,21,0.571,78,-12,-12,-0.126,-9,-6,-0.161,-3,-6,-0.083,-4,-8,+.044,-31
366,Georgia,-,2025-02-24,-31,,Texas,1,L 26-57,200,11,36,0.306,9,30,0.3,2,6,0.333,2,4,0.5,26,24,61,0.393,21,46,0.457,3,15,0.2,6,9,0.667,57,-13,-25,-0.088,-12,-16,-0.157,-1,-9,+.133,-4,-5,-0.167,-31
367,Georgia,-,2025-01-26,-31,@,Oklahoma,15,L 55-86,200,19,62,0.306,17,45,0.378,2,17,0.118,15,23,0.652,55,29,63,0.46,21,40,0.525,8,23,0.348,20,29,0.69,86,-10,-1,-0.154,-4,+5,-0.147,-6,-6,-0.23,-5,-6,-0.037,-31
368,James Madison,-,2024-12-08,-31,,Texas,4,L 62-93,200,24,60,0.4,20,44,0.455,4,16,0.25,10,13,0.769,62,34,63,0.54,25,46,0.543,9,17,0.529,16,19,0.842,93,-10,-3,-0.14,-5,-2,-0.089,-5,-1,-0.279,-6,-6,-0.073,-31
369,Missouri,-,2025-01-02,-31,,South Carolina,2,L 52-83,200,18,57,0.316,13,41,0.317,5,16,0.313,11,17,0.647,52,27,57,0.474,23,42,0.548,4,15,0.267,25,32,0.781,83,-9,0,-0.158,-10,-1,-0.231,+1,+1,+.046,-14,-15,-0.134,-31
370,Montana,-,2024-12-19,-31,N,Michigan State,15,L 38-69,200,16,49,0.327,10,29,0.345,6,20,0.3,0,0,,38,27,62,0.435,22,40,0.55,5,22,0.227,10,13,0.769,69,-11,-13,-0.109,-12,-11,-0.205,+1,-2,+.073,-10,-13,,-31
371,North Texas,-,2024-11-12,-31,@,Oregon,25,L 35-66,200,12,49,0.245,10,39,0.256,2,10,0.2,9,19,0.474,35,27,60,0.45,20,37,0.541,7,23,0.304,5,9,0.556,66,-15,-11,-0.205,-10,+2,-0.284,-5,-13,-0.104,+4,+10,-0.082,-31
372,Pittsburgh,-,2025-02-13,-31,,Notre Dame,2,L 57-88,200,20,59,0.339,18,48,0.375,2,11,0.182,15,17,0.882,57,32,65,0.492,18,40,0.45,14,25,0.56,10,14,0.714,88,-12,-6,-0.153,0,+8,-0.075,-12,-14,-0.378,+5,+3,+.168,-31
373,Pittsburgh,-,2025-02-02,-31,@,California,19,L 53-84,200,17,51,0.333,11,30,0.367,6,21,0.286,13,21,0.619,53,33,68,0.485,25,39,0.641,8,29,0.276,10,15,0.667,84,-16,-17,-0.152,-14,-9,-0.274,-2,-8,+.010,+3,+6,-0.048,-31
374,Rice,-,2024-12-18,-31,@,Georgia Tech,17,L 57-88,200,24,65,0.369,20,47,0.426,4,18,0.222,5,9,0.556,57,33,67,0.493,20,38,0.526,13,29,0.448,9,17,0.529,88,-9,-2,-0.123,0,+9,-0.101,-9,-11,-0.226,-4,-8,+.026,-31
375,Santa Clara,-,2024-11-15,-31,@,Southern California,3,L 50-81,200,19,54,0.352,14,37,0.378,5,17,0.294,7,14,0.5,50,32,71,0.451,26,43,0.605,6,28,0.214,11,15,0.733,81,-13,-17,-0.099,-12,-6,-0.226,-1,-11,+.080,-4,-1,-0.233,-31
376,SMU,-,2025-01-16,-31,,North Carolina,14,L 33-64,200,12,62,0.194,8,41,0.195,4,21,0.19,5,11,0.455,33,26,65,0.4,18,42,0.429,8,23,0.348,4,11,0.364,64,-14,-3,-0.206,-10,-1,-0.233,-4,-2,-0.157,+1,0,+.091,-31
377,St. John's (NY),-,2025-03-08,-31,N,Connecticut,3,L 40-71,200,16,56,0.286,9,28,0.321,7,28,0.25,1,2,0.5,40,29,64,0.453,27,45,0.6,2,19,0.105,11,12,0.917,71,-13,-8,-0.167,-18,-17,-0.279,+5,+9,+.145,-10,-10,-0.417,-31
378,Syracuse,-,2025-02-23,-31,@,Duke,11,L 49-80,200,18,62,0.29,12,45,0.267,6,17,0.353,7,10,0.7,49,30,69,0.435,25,54,0.463,5,15,0.333,15,19,0.789,80,-12,-7,-0.144,-13,-9,-0.196,+1,+2,+.020,-8,-9,-0.089,-31
379,Syracuse,-,2024-12-08,-31,,Notre Dame,10,L 62-93,200,25,77,0.325,22,63,0.349,3,14,0.214,9,13,0.692,62,36,72,0.5,29,53,0.547,7,19,0.368,14,17,0.824,93,-11,+5,-0.175,-7,+10,-0.198,-4,-5,-0.154,-5,-4,-0.131,-31
380,Villanova,-,2025-01-05,-31,,Connecticut,7,L 52-83,200,20,60,0.333,11,34,0.324,9,26,0.346,3,4,0.75,52,35,59,0.593,27,39,0.692,8,20,0.4,5,7,0.714,83,-15,+1,-0.26,-16,-5,-0.369,+1,+6,-0.054,-2,-3,+.036,-31
381,Arkansas,-,2025-01-19,-32,,Alabama,19,L 62-94,200,21,61,0.344,14,42,0.333,7,19,0.368,13,18,0.722,62,35,70,0.5,24,48,0.5,11,22,0.5,13,17,0.765,94,-14,-9,-0.156,-10,-6,-0.167,-4,-3,-0.132,0,+1,-0.042,-32
382,Ball State,-,2024-12-10,-32,@,Ohio State,11,L 48-80,200,20,51,0.392,16,30,0.533,4,21,0.19,4,5,0.8,48,31,65,0.477,24,43,0.558,7,22,0.318,11,15,0.733,80,-11,-14,-0.085,-8,-13,-0.025,-3,-1,-0.128,-7,-10,+.067,-32
383,Belmont,-,2024-11-21,-32,@,Duke,14,L 47-79,200,20,60,0.333,15,44,0.341,5,16,0.313,2,6,0.333,47,32,58,0.552,26,44,0.591,6,14,0.429,9,12,0.75,79,-12,+2,-0.218,-11,0,-0.25,-1,+2,-0.116,-7,-6,-0.417,-32
384,Brigham Young,-,2025-02-11,-32,@,TCU,11,L 47-79,200,18,55,0.327,15,45,0.333,3,10,0.3,8,9,0.889,47,31,68,0.456,21,41,0.512,10,27,0.37,7,11,0.636,79,-13,-13,-0.129,-6,+4,-0.179,-7,-17,-0.07,+1,-2,+.253,-32
385,Brown,-,2024-12-29,-32,@,TCU,11,L 47-79,200,17,57,0.298,10,30,0.333,7,27,0.259,6,7,0.857,47,31,74,0.419,20,47,0.426,11,27,0.407,6,7,0.857,79,-14,-17,-0.121,-10,-17,-0.092,-4,0,-0.148,0,0,0,-32
386,Cal Poly,-,2024-12-16,-32,@,UCLA,1,L 37-69,200,14,54,0.259,9,35,0.257,5,19,0.263,4,6,0.667,37,27,61,0.443,21,36,0.583,6,25,0.24,9,9,1,69,-13,-7,-0.183,-12,-1,-0.326,-1,-6,+.023,-5,-3,-0.333,-32
387,Clemson,-,2024-11-20,-32,,South Carolina,1,L 45-77,200,13,51,0.255,6,33,0.182,7,18,0.389,12,12,1,45,33,77,0.429,26,58,0.448,7,19,0.368,4,6,0.667,77,-20,-26,-0.174,-20,-25,-0.266,0,-1,+.020,+8,+6,+.333,-32
388,Coppin State,-,2024-11-14,-32,@,South Carolina,1,L 60-92,200,23,63,0.365,14,36,0.389,9,27,0.333,5,7,0.714,60,34,66,0.515,23,42,0.548,11,24,0.458,13,20,0.65,92,-11,-3,-0.15,-9,-6,-0.159,-2,+3,-0.125,-8,-13,+.064,-32
389,Eastern Illinois,-,2024-12-15,-32,@,Iowa State,18,L 55-87,200,21,64,0.328,15,43,0.349,6,21,0.286,7,8,0.875,55,31,58,0.534,20,34,0.588,11,24,0.458,14,16,0.875,87,-10,+6,-0.206,-5,+9,-0.239,-5,-3,-0.173,-7,-8,0,-32
390,Georgia,-,2025-02-06,-32,,South Carolina,2,L 42-74,200,16,53,0.302,15,41,0.366,1,12,0.083,9,16,0.563,42,28,61,0.459,20,42,0.476,8,19,0.421,10,15,0.667,74,-12,-8,-0.157,-5,-1,-0.11,-7,-7,-0.338,-1,+1,-0.104,-32
391,Jackson State,-,2024-11-18,-32,@,Ole Miss,17,L 44-76,200,18,51,0.353,16,45,0.356,2,6,0.333,6,8,0.75,44,26,60,0.433,22,46,0.478,4,14,0.286,20,33,0.606,76,-8,-9,-0.08,-6,-1,-0.123,-2,-8,+.048,-14,-25,+.144,-32
392,Marquette,-,2025-01-01,-32,,Connecticut,7,L 45-77,200,17,54,0.315,14,33,0.424,3,21,0.143,8,12,0.667,45,28,67,0.418,19,40,0.475,9,27,0.333,12,12,1,77,-11,-13,-0.103,-5,-7,-0.051,-6,-6,-0.19,-4,0,-0.333,-32
393,Southern,-,2024-11-04,-32,@,Oklahoma,10,L 44-76,200,16,62,0.258,11,44,0.25,5,18,0.278,7,10,0.7,44,29,61,0.475,26,39,0.667,3,22,0.136,15,23,0.652,76,-13,+1,-0.217,-15,+5,-0.417,+2,-4,+.141,-8,-13,+.048,-32
394,Iowa State,-,2024-12-17,-33,N,Connecticut,4,L 68-101,200,25,54,0.463,17,29,0.586,8,25,0.32,10,12,0.833,68,37,65,0.569,17,31,0.548,20,34,0.588,7,9,0.778,101,-12,-11,-0.106,0,-2,+.038,-12,-9,-0.268,+3,+3,+.056,-33
395,Kansas,-,2025-02-05,-33,@,West Virginia,18,L 43-76,200,16,43,0.372,10,29,0.345,6,14,0.429,5,13,0.385,43,25,57,0.439,17,34,0.5,8,23,0.348,18,22,0.818,76,-9,-14,-0.067,-7,-5,-0.155,-2,-9,+.081,-13,-9,-0.434,-33
396,Seton Hall,-,2024-11-27,-33,N,Southern California,6,L 51-84,200,21,65,0.323,16,42,0.381,5,23,0.217,4,9,0.444,51,34,69,0.493,28,48,0.583,6,21,0.286,10,16,0.625,84,-13,-4,-0.17,-12,-6,-0.202,-1,+2,-0.068,-6,-7,-0.181,-33
397,St. Thomas,-,2024-11-14,-33,@,Iowa State,8,L 47-80,200,17,65,0.262,14,45,0.311,3,20,0.15,10,11,0.909,47,31,55,0.564,25,42,0.595,6,13,0.462,12,16,0.75,80,-14,+10,-0.302,-11,+3,-0.284,-3,+7,-0.312,-2,-5,+.159,-33
398,Virginia,-,2025-02-06,-33,,Florida State,22,L 68-101,200,28,77,0.364,24,58,0.414,4,19,0.211,8,18,0.444,68,39,75,0.52,29,49,0.592,10,26,0.385,13,17,0.765,101,-11,+2,-0.156,-5,+9,-0.178,-6,-7,-0.174,-5,+1,-0.32,-33
399,Arkansas,-,2025-01-05,-34,@,Texas,5,L 56-90,200,18,45,0.4,15,33,0.455,3,12,0.25,17,22,0.773,56,33,75,0.44,28,60,0.467,5,15,0.333,19,26,0.731,90,-15,-30,-0.04,-13,-27,-0.012,-2,-3,-0.083,-2,-4,+.042,-34
400,Arkansas,-,2025-01-02,-34,,Louisiana State,6,L 64-98,197,24,67,0.358,16,41,0.39,8,26,0.308,8,8,1,64,39,78,0.5,30,55,0.545,9,23,0.391,11,13,0.846,98,-15,-11,-0.142,-14,-14,-0.155,-1,+3,-0.084,-3,-5,+.154,-34
401,Clemson,-,2024-11-26,-34,N,Alabama,23,L 39-73,200,12,47,0.255,11,32,0.344,1,15,0.067,14,16,0.875,39,30,64,0.469,24,47,0.511,6,17,0.353,7,9,0.778,73,-18,-17,-0.213,-13,-15,-0.167,-5,-2,-0.286,+7,+7,+.097,-34
402,Mississippi Valley State,-,2024-12-21,-34,@,Ole Miss,25,L 44-78,200,16,47,0.34,12,33,0.364,4,14,0.286,8,11,0.727,44,29,66,0.439,24,46,0.522,5,20,0.25,15,21,0.714,78,-13,-19,-0.099,-12,-13,-0.158,-1,-6,+.036,-7,-10,+.013,-34
403,Purdue,-,2025-01-07,-34,,UCLA,1,L 49-83,200,17,51,0.333,11,33,0.333,6,18,0.333,9,11,0.818,49,33,62,0.532,24,42,0.571,9,20,0.45,8,10,0.8,83,-16,-11,-0.199,-13,-9,-0.238,-3,-2,-0.117,+1,+1,+.018,-34
404,Wofford,-,2024-11-12,-34,@,Kentucky,20,L 42-76,200,14,69,0.203,9,39,0.231,5,30,0.167,9,14,0.643,42,30,65,0.462,20,35,0.571,10,30,0.333,6,9,0.667,76,-16,+4,-0.259,-11,+4,-0.341,-5,0,-0.167,+3,+5,-0.024,-34
405,Boise State,-,2024-11-30,-35,N,West Virginia,12,L 47-82,200,16,51,0.314,9,25,0.36,7,26,0.269,8,10,0.8,47,32,67,0.478,26,46,0.565,6,21,0.286,12,13,0.923,82,-16,-16,-0.164,-17,-21,-0.205,+1,+5,-0.016,-4,-3,-0.123,-35
406,Butler,-,2024-11-30,-35,N,Texas,5,L 59-94,200,21,42,0.5,18,31,0.581,3,11,0.273,14,21,0.667,59,34,67,0.507,30,55,0.545,4,12,0.333,22,30,0.733,94,-13,-25,-0.007,-12,-24,+.035,-1,-1,-0.061,-8,-9,-0.067,-35
407,Cleveland State,-,2024-11-05,-35,@,Ohio State,14,L 69-104,200,23,62,0.371,14,37,0.378,9,25,0.36,14,20,0.7,69,39,72,0.542,29,51,0.569,10,21,0.476,16,24,0.667,104,-16,-10,-0.171,-15,-14,-0.19,-1,+4,-0.116,-2,-4,+.033,-35
408,Dayton,-,2024-11-14,-35,@,Duke,16,L 49-84,200,18,56,0.321,11,35,0.314,7,21,0.333,6,8,0.75,49,34,68,0.5,27,49,0.551,7,19,0.368,9,19,0.474,84,-16,-12,-0.179,-16,-14,-0.237,0,+2,-0.035,-3,-11,+.276,-35
409,Georgetown,-,2024-12-15,-35,@,Connecticut,2,L 44-79,200,15,57,0.263,9,39,0.231,6,18,0.333,8,15,0.533,44,32,67,0.478,24,45,0.533,8,22,0.364,7,8,0.875,79,-17,-10,-0.214,-15,-6,-0.303,-2,-4,-0.03,+1,+7,-0.342,-35
410,High Point,-,2024-11-29,-35,N,West Virginia,12,L 54-89,200,18,50,0.36,8,15,0.533,10,35,0.286,8,14,0.571,54,33,62,0.532,31,48,0.646,2,14,0.143,21,29,0.724,89,-15,-12,-0.172,-23,-33,-0.113,+8,+21,+.143,-13,-15,-0.153,-35
411,Houston,-,2025-02-26,-35,@,TCU,10,L 56-91,200,20,56,0.357,14,37,0.378,6,19,0.316,10,14,0.714,56,34,63,0.54,21,35,0.6,13,28,0.464,10,12,0.833,91,-14,-7,-0.183,-7,+2,-0.222,-7,-9,-0.148,0,+2,-0.119,-35
412,Marquette,-,2025-03-02,-35,@,Connecticut,5,L 57-92,200,18,48,0.375,12,29,0.414,6,19,0.316,15,16,0.938,57,38,64,0.594,32,49,0.653,6,15,0.4,10,12,0.833,92,-20,-16,-0.219,-20,-20,-0.239,0,+4,-0.084,+5,+4,+.104,-35
413,Mount St. Mary's,-,2024-12-03,-35,@,Maryland,7,L 52-87,200,19,56,0.339,12,25,0.48,7,31,0.226,7,12,0.583,52,33,63,0.524,30,51,0.588,3,12,0.25,18,25,0.72,87,-14,-7,-0.185,-18,-26,-0.108,+4,+19,-0.024,-11,-13,-0.137,-35
414,SMU,-,2025-01-23,-35,,Duke,14,L 46-81,200,16,51,0.314,12,34,0.353,4,17,0.235,10,16,0.625,46,30,66,0.455,20,45,0.444,10,21,0.476,11,13,0.846,81,-14,-15,-0.141,-8,-11,-0.092,-6,-4,-0.241,-1,+3,-0.221,-35
415,Towson,-,2024-11-17,-35,@,Maryland,11,L 63-98,200,23,59,0.39,15,33,0.455,8,26,0.308,9,12,0.75,63,39,65,0.6,28,48,0.583,11,17,0.647,9,13,0.692,98,-16,-6,-0.21,-13,-15,-0.129,-3,+9,-0.339,0,-1,+.058,-35
416,Wofford,-,2024-12-18,-35,@,Duke,9,L 58-93,200,22,65,0.338,15,37,0.405,7,28,0.25,7,8,0.875,58,34,67,0.507,28,44,0.636,6,23,0.261,19,27,0.704,93,-12,-2,-0.169,-13,-7,-0.231,+1,+5,-0.011,-12,-19,+.171,-35
417,Charleston Southern,-,2024-12-19,-36,@,South Carolina,2,L 46-82,200,18,60,0.3,15,43,0.349,3,17,0.176,7,9,0.778,46,29,63,0.46,24,48,0.5,5,15,0.333,19,23,0.826,82,-11,-3,-0.16,-9,-5,-0.151,-2,+2,-0.157,-12,-14,-0.048,-36
418,Florida Atlantic,-,2024-12-04,-36,@,TCU,9,L 42-78,200,16,63,0.254,12,44,0.273,4,19,0.211,6,8,0.75,42,30,76,0.395,18,39,0.462,12,37,0.324,6,11,0.545,78,-14,-13,-0.141,-6,+5,-0.189,-8,-18,-0.114,0,-3,+.205,-36
419,Holy Cross,-,2024-12-03,-36,@,Connecticut,2,L 52-88,200,20,49,0.408,14,24,0.583,6,25,0.24,6,8,0.75,52,35,65,0.538,21,34,0.618,14,31,0.452,4,7,0.571,88,-15,-16,-0.13,-7,-10,-0.034,-8,-6,-0.212,+2,+1,+.179,-36
420,Lafayette,-,2024-11-17,-36,,Notre Dame,6,L 55-91,200,23,65,0.354,15,39,0.385,8,26,0.308,1,2,0.5,55,34,73,0.466,19,40,0.475,15,33,0.455,8,13,0.615,91,-11,-8,-0.112,-4,-1,-0.09,-7,-7,-0.147,-7,-11,-0.115,-36
421,Texas Tech,-,2025-01-08,-36,,West Virginia,17,L 53-89,200,17,51,0.333,11,31,0.355,6,20,0.3,13,21,0.619,53,28,55,0.509,23,39,0.59,5,16,0.313,28,31,0.903,89,-11,-4,-0.176,-12,-8,-0.235,+1,+4,-0.013,-15,-10,-0.284,-36
